* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2025010111   1014.4   1018.9     18.2     None     12.4       68     14.4      3.6     60.0      5.5     60.0     10.1     60.0      0.0     -9.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     16.3     15.5     16.0     16.5    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.56        8     20.9     None   -99.95     None     18.5     17.9
72C440 2025010112   1013.7   1018.2     16.9     None     13.8       82     15.7      4.1     60.0      4.5     60.0      8.8     70.0      0.0     -9.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     16.4     15.7     16.1     16.5    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.53        8     19.2     None   -99.95     None     18.2     16.8
72C440 2025010113   1012.7   1017.3     16.8     None     14.0       83     16.0      3.2     70.0      4.0     60.0      6.4     50.0      0.0     -9.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     16.6     15.8     16.1     16.5    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.55        8     19.2     None   -99.95     None     17.2     16.8
72C440 2025010114   1012.4   1017.0     16.4     None     14.9       90     16.9      3.0     50.0      3.3     70.0      5.3     50.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     16.7     16.0     16.2     16.6    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.4        6     18.7     None   -99.95     None     17.0     16.4
72C440 2025010115   1012.4   1016.9     16.6     None     14.3       86     16.3      2.1     50.0      3.2     50.0      6.0     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.1     16.3     16.6    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.27        6     18.9     None   -99.95     None     16.6     16.4
72C440 2025010116   1012.3   1016.8     16.8     None     14.5       86     16.5      1.7     60.0      2.3     70.0      4.8     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.2     16.4     16.6    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.17        7     19.1     None   -99.95     None     16.8     16.5
72C440 2025010117   1012.5   1017.1     16.6     None     14.4       87     16.4      2.0     70.0      2.2     80.0      4.2     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.9     16.2     16.5     16.7    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.08        5     18.8     None   -99.95     None     16.8     16.6
72C440 2025010118   1013.0   1017.5     16.0     None     14.7       92     16.7      2.0     50.0      2.4     70.0      4.1     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.5     16.7    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     18.1     None   -99.95     None     16.6     16.0
72C440 2025010119   1013.8   1018.3     15.7     None     14.9       95     17.0      1.0     40.0      2.3     50.0      4.3     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.9     None   -99.95     None     16.0     15.7
72C440 2025010120   1014.5   1019.0     15.8     None     15.0       95     17.0      0.4     60.0      1.1     30.0      1.6     20.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.9     None   -99.95     None     15.8     15.7
72C440 2025010121   1014.4   1019.0     15.7     None     15.2       97     17.3      0.3    130.0      0.9    100.0      1.4     90.0      2.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.8     None   -99.95     None     15.8     15.6
72C440 2025010122   1014.2   1018.8     15.7     None     15.3       97     17.4      0.8     40.0      0.8     30.0      1.2     30.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.8     None   -99.95     None     15.7     15.6
72C440 2025010123   1014.3   1018.8     15.7     None     15.4       98     17.5      1.2     10.0      1.5     50.0      3.3     60.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     17.8     None   -99.95     None     15.7     15.6
72C440 2025010124   1014.3   1018.9     15.8     None     15.6       98     17.7      0.8     40.0      1.3     10.0      2.0     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.0     None   -99.95     None     15.8     15.7
72C440 2025010201   1014.4   1019.0     15.9     None     15.7       98     17.8      3.4     30.0      3.4     30.0      8.2    360.0      2.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.3     16.6     16.9    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     18.1     None   -99.95     None     16.0     15.8
72C440 2025010202   1014.4   1019.0     15.2     None     15.0       98     17.1      4.1     30.0      5.0     30.0     10.2     10.0      3.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.7     16.2     16.6     16.9    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.3     None   -99.95     None     15.9     15.2
72C440 2025010203   1014.6   1019.2     14.9     None     14.6       98     16.7      4.5     40.0      5.0     40.0      9.5     50.0      1.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.6     16.2     16.6     16.9    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     16.9     None   -99.95     None     15.2     14.9
72C440 2025010204   1014.9   1019.5     14.7     None     14.2       96     16.2      4.2     40.0      5.3     40.0      9.2     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.5     16.1     16.6     16.9    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     16.8     None   -99.95     None     14.9     14.7
72C440 2025010205   1014.9   1019.4     14.8     None     13.9       94     15.9      2.9     50.0      4.3     40.0      8.7     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.4     16.1     16.5     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     16.8     None   -99.95     None     14.8     14.7
72C440 2025010206   1015.0   1019.5     15.4     None     13.9       90     15.9      3.3     50.0      4.2     50.0      8.1     80.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     16.0     16.5     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.4     None   -99.95     None     15.4     14.8
72C440 2025010207   1015.8   1020.4     15.8     None     13.5       86     15.4      3.7     50.0      3.7     50.0      7.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     16.0     16.5     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.9     None   -99.95     None     15.8     15.3
72C440 2025010208   1016.0   1020.6     16.0     None     13.5       85     15.5      3.6     50.0      3.9     50.0      7.1     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     15.9     16.4     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        0     18.2     None   -99.95     None     16.0     15.7
72C440 2025010209   1016.5   1021.0     16.7     None     13.3       80     15.3      4.9     50.0      4.9     50.0      8.7     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     15.9     16.4     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.25        1     19.0     None   -99.95     None     16.7     16.0
72C440 2025010210   1016.2   1020.7     17.6     None     13.7       78     15.6      4.7     50.0      5.9     50.0     10.3     70.0      0.0     -9.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     16.4     15.9     16.4     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.53        0     20.0     None   -99.95     None     17.6     16.7
72C440 2025010211   1015.8   1020.3     17.8     None     13.7       76     15.5      5.0     50.0      6.2     50.0     11.6     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     16.6     16.0     16.4     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.72        8     20.4     None   -99.95     None     17.9     17.4
72C440 2025010212   1014.5   1019.0     18.3     None     12.8       70     15.1      5.4     50.0      6.1     50.0     11.4     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.1     16.4     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.97        8     21.0     None   -99.95     None     18.9     17.8
72C440 2025010213   1013.2   1017.8     18.6     None     13.3       71     15.3      5.2     40.0      6.5     40.0     12.6     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.0     16.2     16.5     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.92        8     21.4     None   -99.95     None     18.7     18.2
72C440 2025010214   1012.6   1017.1     18.8     None     13.2       69     15.2      6.3     50.0      7.0     40.0     12.7     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.2     16.4     16.6     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.96        6     21.7     None   -99.95     None     19.0     18.5
72C440 2025010215   1012.5   1017.0     18.7     None     13.2       70     15.3      5.6     40.0      6.8     50.0     13.0     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     17.4     16.5     16.7     16.8    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.88        6     21.7     None   -99.95     None     19.0     18.8
72C440 2025010216   1012.5   1017.0     18.6     None     13.7       73     15.6      6.3     50.0      6.6     40.0     12.7     50.0      0.0     -9.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     17.5     16.6     16.8     16.9    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.78        5     21.5     None   -99.95     None     19.3     18.6
72C440 2025010217   1012.7   1017.3     17.8     None     13.5       75     15.4      5.4     40.0      6.5     40.0     11.2     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.4     16.7     16.9     16.9    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.18        5     20.4     None   -99.95     None     18.6     17.8
72C440 2025010218   1013.3   1017.9     17.6     None     13.6       77     15.6      4.5     50.0      5.5     40.0     11.7     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.3     16.7     16.9     17.0    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     20.0     None   -99.95     None     17.8     17.5
72C440 2025010219   1014.0   1018.5     17.5     None     13.3       76     15.3      5.9     50.0      6.0     50.0     11.7     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.2     16.7     17.0     17.0    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     20.0     None   -99.95     None     17.6     17.4
72C440 2025010220   1014.8   1019.3     17.6     None     13.6       77     15.6      5.5     40.0      7.0     40.0     12.6     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.1     16.6     17.0     17.0    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     20.1     None   -99.95     None     17.7     17.5
72C440 2025010221   1015.3   1019.9     16.7     None     14.0       83     16.0      7.7     50.0      7.7     50.0     14.0     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     17.0     16.6     16.9     17.1    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     19.0     None   -99.95     None     17.6     16.7
72C440 2025010222   1015.7   1020.2     15.6     None     14.6       93     16.6      5.0     50.0      7.7     50.0     12.4     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.9     16.5     16.9     17.1    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.8     None   -99.95     None     16.7     15.6
72C440 2025010223   1015.4   1020.0     15.8     None     14.5       92     16.5      4.7     50.0      5.8     50.0     12.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.4     16.9     17.1    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     18.0     None   -99.95     None     15.8     15.5
72C440 2025010224   1015.5   1020.0     16.3     None     14.0       86     16.0      4.7     50.0      5.5     50.0     10.6     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.8     16.4     16.8     17.1    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     18.5     None   -99.95     None     16.3     15.8
72C440 2025010301   1015.6   1020.2     16.0     None     13.2       83     15.2      5.1     40.0      6.3     50.0     12.4     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.7     16.3     16.8     17.1    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.2     None   -99.95     None     16.3     15.9
72C440 2025010302   1015.5   1020.1     16.1     None     12.4       78     14.4      6.1     50.0      6.2     50.0     14.5     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.6     16.3     16.7     17.0    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     18.3     None   -99.95     None     16.1     16.0
72C440 2025010303   1015.4   1019.9     16.2     None     11.4       73     13.4      5.9     40.0      6.8     50.0     13.4     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.5     16.2     16.7     17.0    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     18.4     None   -99.95     None     16.3     16.0
72C440 2025010304   1015.5   1020.1     16.1     None     10.6       70     12.7      6.1     40.0      6.3     40.0     12.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.4     16.1     16.6     17.0    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     18.2     None   -99.95     None     16.2     16.0
72C440 2025010305   1015.6   1020.1     15.9     None     10.7       71     13.0      6.2     40.0      6.4     50.0     13.2     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     16.1     16.6     17.0    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     18.1     None   -99.95     None     16.1     15.9
72C440 2025010306   1016.1   1020.8     15.7     None     10.8       72     12.9      5.8     40.0      6.4     40.0     14.0     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.2     16.0     16.5     16.9    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.8     None   -99.95     None     15.9     15.7
72C440 2025010307   1016.8   1021.3     15.7     None     10.8       72     12.9      5.3     40.0      6.6     50.0     13.4     30.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     15.9     16.4     16.9    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.8     None   -99.95     None     15.8     15.6
72C440 2025010308   1017.4   1022.0     15.7     None     10.8       72     12.9      5.6     40.0      6.5     50.0     12.5     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.0     15.8     16.4     16.9    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        2     17.9     None   -99.95     None     15.8     15.6
72C440 2025010309   1017.8   1022.3     16.5     None     10.8       69     12.9      6.8     50.0      7.2     40.0     14.2     50.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     16.0     15.7     16.3     16.8    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.31        2     18.7     None   -99.95     None     16.6     15.7
72C440 2025010310   1017.7   1022.3     16.6     None     10.6       67     12.8      6.8     50.0      7.2     50.0     13.9     50.0      0.0     -9.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     16.1     15.7     16.3     16.8    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.49        1     19.0     None   -99.95     None     16.7     16.3
72C440 2025010311   1017.6   1022.1     17.1     None     10.0       62     12.2      7.0     40.0      8.0     40.0     14.6     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     16.2     15.7     16.2     16.8    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.92        0     19.5     None   -99.95     None     17.5     16.6
72C440 2025010312   1017.0   1021.6     16.5     None     10.6       67     12.7      7.2     40.0      7.9     40.0     15.6     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     16.3     15.8     16.3     16.7    -99.5     18.8     19.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.75        8     18.8     None   -99.95     None     17.2     16.5
