* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2025120111   1011.2   1015.7     23.9     None     19.8     78.0     23.3      2.3    360.0      2.4    360.0      4.9    340.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.7     20.2     20.4     20.7    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.18        8     29.5     None   -99.95     None     25.2     23.1
72C440 2025120112   1010.4   1014.9     23.7     None     17.4     67.0     20.3      2.6    350.0      2.9    350.0      6.1    330.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.7     20.7     20.6     20.7    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.54        7     29.4     None   -99.95     None     24.0     23.3
72C440 2025120113   1009.4   1013.9     24.4     None     18.8     70.0     21.8      2.5     10.0      3.2    350.0      5.6     20.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.4     21.3     20.9     20.7    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.48        8     30.9     None   -99.95     None     24.9     23.7
72C440 2025120114   1008.9   1013.3     25.6     None     19.3     68.0     22.4      3.0     40.0      3.0     40.0      5.8     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.6     21.7     21.2     20.8    -99.5     22.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.89        7     32.7     None   -99.95     None     25.5     24.3
72C440 2025120115   1008.5   1012.9     25.4     None     19.9     71.0     23.2      3.3     40.0      3.5     30.0      6.6     30.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.8     22.1     21.5     21.0    -99.5     22.4     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.69        6     32.3     None   -99.95     None     25.7     25.3
72C440 2025120116   1008.7   1013.1     23.9     None     20.0     78.0     23.5      3.3     40.0      4.2     60.0      7.5     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.8     22.3     21.8     21.1    -99.5     22.4     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.97        5     29.7     None   -99.95     None     25.4     23.9
72C440 2025120117   1008.7   1013.1     21.7     None     20.0     89.0     23.4      3.0     60.0      4.1     50.0      7.9     60.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     23.6     22.4     22.0     21.3    -99.5     22.4     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.28        5     26.0     None   -99.95     None     23.9     21.8
72C440 2025120118   1008.8   1013.2     21.4     None     20.5     94.0     24.2      4.2     60.0      4.2     60.0      8.8     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.2     22.4     22.2     21.4    -99.5     22.4     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     25.5     None   -99.95     None     21.7     21.4
72C440 2025120119   1008.7   1013.2     21.0     None     20.4     96.0     24.0      3.2     50.0      4.1     60.0      7.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     23.0     22.3     22.2     21.5    -99.5     22.5     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     24.9     None   -99.95     None     21.5     21.0
72C440 2025120120   1009.0   1013.5     20.9     None     20.4     97.0     24.0      2.9     40.0      3.1     40.0      5.7     20.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.7     22.1     22.1     21.6    -99.5     22.5     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.7     None   -99.95     None     21.0     20.8
72C440 2025120121   1008.9   1013.4     21.0     None     20.4     96.0     24.0      3.8     40.0      3.8     40.0      7.1     30.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.5     22.0     22.1     21.7    -99.5     22.5     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     24.8     None   -99.95     None     21.0     20.9
72C440 2025120122   1009.1   1013.6     21.1     None     19.9     92.0     23.3      3.8     40.0      4.2     40.0      8.3     20.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.3     21.9     22.0     21.7    -99.5     22.5     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     25.0     None   -99.95     None     21.1     21.0
72C440 2025120123   1009.3   1013.7     21.0     None     19.9     93.0     23.2      3.1     40.0      3.9     40.0      7.9     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.1     21.7     21.9     21.7    -99.5     22.5     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     24.9     None   -99.95     None     21.1     21.0
72C440 2025120124   1009.3   1013.8     21.2     None     20.7     96.0     24.3      3.4     40.0      3.5     40.0      6.2     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.0     21.6     21.9     21.7    -99.5     22.5     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     25.1     None   -99.95     None     21.2     21.0
72C440 2025120201   1009.6   1014.0     21.4     None     20.8     96.0     24.6      3.5     40.0      3.8     40.0      9.2     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.9     21.5     21.8     21.7    -99.5     22.6     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     25.5     None   -99.95     None     21.4     21.1
72C440 2025120202   1009.8   1014.2     21.2     None     20.8     97.0     24.6      4.3     40.0      4.3     40.0      8.3     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.9     21.4     21.7     21.7    -99.5     22.6     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     25.2     None   -99.95     None     21.6     21.2
72C440 2025120203   1009.8   1014.3     20.2     None     19.9     98.0     23.2      4.0     40.0      4.8     40.0      8.4     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.8     21.4     21.6     21.7    -99.5     22.6     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.6     None   -99.95     None     21.2     20.2
72C440 2025120204   1010.0   1014.5     20.4     None     19.1     92.0     22.1      4.0     40.0      4.4     40.0      8.3     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.7     21.3     21.6     21.6    -99.5     22.6     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.8     None   -99.95     None     20.3     20.1
72C440 2025120205   1010.0   1014.4     20.7     None     18.3     86.0     21.1      3.9     50.0      5.1     50.0      9.7     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.6     21.2     21.5     21.6    -99.5     22.6     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.5     None   -99.95     None     20.8     20.4
72C440 2025120206   1010.7   1015.2     20.4     None     18.8     90.0     21.7      3.0     50.0      4.6     60.0      9.3     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.5     21.1     21.5     21.6    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     24.0     None   -99.95     None     20.7     20.3
72C440 2025120207   1011.1   1015.5     20.5     None     18.9     90.0     21.9      3.7     50.0      4.7     50.0      9.0     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.4     21.1     21.4     21.5    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.04        3     24.1     None   -99.95     None     20.6     20.4
72C440 2025120208   1011.5   1015.9     21.3     None     19.1     87.0     22.0      3.7     50.0      3.8     50.0      7.6     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.4     21.0     21.4     21.5    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.23        1     25.3     None   -99.95     None     21.3     20.5
72C440 2025120209   1011.7   1016.2     23.3     None     19.5     79.0     22.7      4.2     40.0      4.2     40.0      8.8     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.6     21.0     21.3     21.5    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.94        2     28.4     None   -99.95     None     23.2     21.3
72C440 2025120210   1011.5   1015.9     24.2     None     19.6     75.0     22.8      4.7     40.0      5.4     40.0     10.7     40.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.9     21.0     21.3     21.5    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.78        0     30.2     None   -99.95     None     24.2     23.2
72C440 2025120211   1011.4   1015.9     24.6     None     19.4     72.0     22.9      4.8     40.0      5.5     30.0      9.5     30.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.7     21.3     21.3     21.4    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.26        0     30.9     None   -99.95     None     25.2     24.1
72C440 2025120212   1010.6   1015.1     24.1     None     19.3     74.0     22.1      4.7     40.0      6.2     40.0     11.1     30.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.3     21.6     21.5     21.4    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.15        8     29.7     None   -99.95     None     24.6     23.8
72C440 2025120213   1010.0   1014.4     24.0     None     18.7     72.0     21.6      5.5     40.0      5.7     40.0     10.6     30.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.6     22.0     21.7     21.5    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.79        8     30.0     None   -99.95     None     24.5     23.5
72C440 2025120214   1009.7   1014.1     23.4     None     18.2     72.0     20.9      5.9     40.0      6.1     40.0     11.3     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.7     22.2     21.9     21.5    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.68        6     28.8     None   -99.95     None     24.4     23.2
72C440 2025120215   1009.9   1014.3     23.3     None     18.0     71.0     20.5      5.7     50.0      6.0     50.0     13.0     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.7     22.4     22.1     21.6    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.28        5     28.6     None   -99.95     None     24.1     23.0
72C440 2025120216   1010.3   1014.8     22.4     None     17.2     72.0     19.6      5.2     50.0      6.7     50.0     13.1     50.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     23.5     22.5     22.2     21.7    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.9        3     27.1     None   -99.95     None     23.4     22.4
72C440 2025120217   1010.9   1015.4     21.2     None     16.8     76.0     19.1      5.0     50.0      6.2     60.0     10.8     60.0      0.0     -9.5      0.2     None     None     None     None     None     None     None     None     None     None     None     None     23.1     22.4     22.3     21.8    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.28        2     25.2     None   -99.95     None     22.4     21.2
72C440 2025120218   1011.6   1016.1     20.5     None     16.9     79.0     19.3      3.9     50.0      5.1     60.0      9.7     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.8     22.3     22.3     21.9    -99.5     22.7     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.1     None   -99.95     None     21.2     20.5
72C440 2025120219   1012.1   1016.6     20.3     None     17.0     81.0     19.3      4.2     60.0      5.1     60.0     10.8     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.5     22.1     22.3     21.9    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.9     None   -99.95     None     20.6     20.3
72C440 2025120220   1012.3   1016.8     20.2     None     16.5     79.0     18.7      4.4     60.0      5.0     60.0      9.9     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     21.9     22.2     22.0    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     23.6     None   -99.95     None     20.4     20.1
72C440 2025120221   1012.4   1016.9     19.9     None     16.5     81.0     18.8      3.2     50.0      4.4     60.0      7.6     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.0     21.7     22.1     22.0    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.2     None   -99.95     None     20.2     19.9
72C440 2025120222   1012.4   1016.9     20.2     None     16.7     80.0     19.0      3.8     50.0      4.3     60.0      8.4     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.8     21.6     21.9     21.9    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.7     None   -99.95     None     20.3     19.9
72C440 2025120223   1012.7   1017.2     20.9     None     16.6     76.0     18.9      5.1     50.0      5.1     50.0      9.4     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.6     21.4     21.8     21.9    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.6     None   -99.95     None     20.8     20.2
72C440 2025120224   1012.8   1017.3     20.5     None     17.2     81.0     19.6      6.2     50.0      7.4     50.0     14.7     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.5     21.3     21.7     21.9    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.2     None   -99.95     None     21.1     20.5
72C440 2025120301   1013.4   1017.9     20.0     None     16.3     78.0     18.5      6.5     50.0      7.1     50.0     15.2     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.4     21.2     21.6     21.8    -99.5     22.8     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.4     None   -99.95     None     20.6     20.0
72C440 2025120302   1013.6   1018.1     19.8     None     15.5     76.0     17.6      7.0     50.0      7.2     50.0     14.5     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.2     21.0     21.5     21.8    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     23.1     None   -99.95     None     20.0     19.7
72C440 2025120303   1013.7   1018.2     19.6     None     15.0     74.0     17.0      6.4     50.0      7.2     50.0     14.9     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.1     20.9     21.4     21.7    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     22.9     None   -99.95     None     19.8     19.6
72C440 2025120304   1014.5   1018.9     19.5     None     14.9     74.0     16.9      6.1     50.0      7.3     50.0     14.4     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.9     20.8     21.3     21.7    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     22.6     None   -99.95     None     19.6     19.5
72C440 2025120305   1015.2   1019.8     18.8     None     14.9     77.0     16.9      5.9     50.0      6.9     50.0     15.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.7     20.7     21.2     21.6    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     21.7     None   -99.95     None     19.5     18.8
72C440 2025120306   1016.3   1020.8     18.1     None     15.1     82.0     17.1      5.6     50.0      6.4     50.0     13.0     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.5     21.1     21.5    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     20.7     None   -99.95     None     18.8     18.1
72C440 2025120307   1016.8   1021.4     17.7     None     15.1     84.0     17.1      5.4     50.0      6.6     50.0     12.8     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.4     20.4     21.0     21.5    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        1     20.3     None   -99.95     None     18.2     17.7
72C440 2025120308   1018.1   1022.6     18.1     None     13.9     76.0     15.8      5.6     50.0      6.5     60.0     12.9     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.3     20.3     20.9     21.4    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.07        3     20.8     None   -99.95     None     18.2     17.5
72C440 2025120309   1018.9   1023.4     17.4     None     14.0     80.0     16.1      4.9     50.0      7.0     50.0     12.9     60.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.1     20.2     20.8     21.3    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.13        3     19.9     None   -99.95     None     18.1     17.2
72C440 2025120310   1019.0   1023.5     18.4     None     12.6     68.0     14.4      6.1     50.0      6.3     50.0     13.5     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.0     20.0     20.7     21.3    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.25        1     21.1     None   -99.95     None     18.4     17.4
72C440 2025120311   1018.9   1023.4     18.2     None     12.4     69.0     14.4      6.7     50.0      7.4     50.0     15.0     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.0     20.0     20.6     21.2    -99.5     22.9     22.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.31        1     20.8     None   -99.95     None     18.5     18.1
