* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2025030111   1013.9   1018.3     23.6     None     18.6       73     21.0      2.0    320.0      2.0    320.0      3.4    320.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     18.6     17.3     17.4     17.5    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.56        8     29.0     None   -99.95     None     24.3     20.9
72C440 2025030112   1012.8   1017.2     25.4     None     17.4       61     20.1      3.0    360.0      3.0    360.0      5.5    360.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     19.5     17.7     17.5     17.5    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.13        8     32.3     None   -99.95     None     25.8     23.6
72C440 2025030113   1011.6   1016.0     25.5     None     17.8       62     20.3      2.5     20.0      3.3    360.0      5.7    330.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.2     18.2     17.8     17.5    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.16        8     32.4     None   -99.95     None     25.7     24.7
72C440 2025030114   1010.4   1014.8     26.9     None     18.3       59     20.5      2.5     40.0      3.3     40.0      5.5     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.1     18.7     18.2     17.6    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.69        7     35.0     None   -99.95     None     26.7     25.4
72C440 2025030115   1009.8   1014.3     25.8     None     17.8       61     20.1      2.4     50.0      3.1     30.0      5.5     20.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.8     19.3     18.6     17.7    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.0        6     33.3     None   -99.95     None     27.5     25.9
72C440 2025030116   1009.4   1013.8     25.7     None     18.1       63     20.7      2.0     50.0      2.5     60.0      4.6     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.9     19.8     19.0     17.9    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.91        6     33.0     None   -99.95     None     26.9     25.4
72C440 2025030117   1009.5   1013.9     25.3     None     18.0       64     20.7      1.4     60.0      2.5     70.0      4.0     70.0      0.0     -9.5      0.8     None     None     None     None     None     None     None     None     None     None     None     None     21.8     20.0     19.3     18.1    -99.5     18.4     18.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.56        6     32.3     None   -99.95     None     26.0     25.2
72C440 2025030118   1009.5   1013.9     23.4     None     18.5       74     21.2      1.1     60.0      1.7     60.0      2.9     90.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.6     20.1     19.5     18.3    -99.5     18.4     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.08        6     28.8     None   -99.95     None     25.3     23.4
72C440 2025030119   1009.5   1014.0     22.5     None     18.7       78     21.5      0.7    100.0      1.2     70.0      1.9     90.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.4     20.1     19.6     18.4    -99.5     18.5     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     27.4     None   -99.95     None     23.4     22.5
72C440 2025030120   1009.6   1014.0     22.5     None     19.0       80     21.9      0.7    140.0      0.9    100.0      1.5    110.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.2     20.0     19.7     18.6    -99.5     18.5     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     27.2     None   -99.95     None     22.6     22.3
72C440 2025030121   1009.9   1014.4     21.7     None     18.8       83     21.7      1.2    160.0      1.2    160.0      1.7    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.9     19.9     19.7     18.7    -99.5     18.5     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     26.0     None   -99.95     None     22.5     21.6
72C440 2025030122   1010.1   1014.6     21.0     None     18.6       86     21.4      0.5    110.0      1.3    130.0      1.8    130.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.7     19.8     19.6     18.7    -99.5     18.5     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.9     None   -99.95     None     21.8     21.0
72C440 2025030123   1009.9   1014.4     20.4     None     18.3       87     21.0      1.0    170.0      1.1    180.0      1.5    170.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     19.7     19.6     18.8    -99.5     18.6     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     23.9     None   -99.95     None     21.0     20.4
72C440 2025030124   1009.8   1014.2     20.5     None     18.5       88     21.4      1.0    100.0      1.3    110.0      1.9    120.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.4     19.6     19.5     18.8    -99.5     18.6     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     24.1     None   -99.95     None     20.7     20.4
72C440 2025030201   1009.7   1014.2     19.8     None     18.4       91     21.2      0.9    160.0      1.3    100.0      1.5    100.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.2     19.5     19.5     18.8    -99.5     18.6     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     23.1     None   -99.95     None     20.5     19.8
72C440 2025030202   1009.7   1014.2     19.4     None     18.3       93     21.0      0.0      0.0      1.0    170.0      1.6    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.1     19.4     19.4     18.9    -99.5     18.7     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     22.6     None   -99.95     None     19.8     19.4
72C440 2025030203   1009.4   1013.9     19.2     None     18.4       94     21.0      0.5    300.0      0.9    320.0      1.5    320.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.9     19.3     19.3     18.8    -99.5     18.7     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     22.2     None   -99.95     None     19.6     19.2
72C440 2025030204   1009.3   1013.8     18.4     None     17.6       95     20.1      0.0      0.0      0.9    270.0      1.5    260.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.8     19.2     19.3     18.8    -99.5     18.7     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     21.2     None   -99.95     None     19.2     18.4
72C440 2025030205   1009.6   1014.1     18.7     None     18.1       96     20.7      1.1    180.0      1.1    180.0      1.5    180.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.6     19.0     19.2     18.8    -99.5     18.8     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     21.6     None   -99.95     None     18.7     18.4
72C440 2025030206   1009.6   1014.2     18.9     None     17.5       91     20.0      0.7    140.0      1.3    140.0      2.2    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.5     18.9     19.1     18.8    -99.5     18.8     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     21.9     None   -99.95     None     18.9     18.6
72C440 2025030207   1010.4   1014.8     19.2     None     17.9       92     20.5      0.7    320.0      1.3    140.0      2.2    150.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     19.4     18.8     19.0     18.8    -99.5     18.8     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.04        3     22.2     None   -99.95     None     19.2     18.7
72C440 2025030208   1011.5   1016.0     20.6     None     18.3       86     21.2      0.6    100.0      2.2    320.0      3.4    320.0      0.0     -9.5      0.2     None     None     None     None     None     None     None     None     None     None     None     None     19.4     18.8     19.0     18.7    -99.5     18.8     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.4        3     24.1     None   -99.95     None     20.5     18.6
72C440 2025030209   1011.6   1016.0     23.0     None     17.6       71     20.1      0.9    130.0      1.2    130.0      1.8    120.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     19.6     18.7     18.9     18.7    -99.5     18.9     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.95        1     28.1     None   -99.95     None     23.0     20.6
72C440 2025030210   1011.5   1015.9     24.5     None     18.6       69     21.4      1.3    340.0      1.5    340.0      3.4    330.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     19.8     18.8     18.9     18.7    -99.5     18.9     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.81        0     30.8     None   -99.95     None     26.1     23.0
72C440 2025030211   1011.1   1015.5     26.4     None     19.0       63     22.0      1.0     20.0      1.3    330.0      2.5     20.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     19.0     18.9     18.7    -99.5     18.9     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.15        8     34.4     None   -99.95     None     26.4     24.4
72C440 2025030212   1010.4   1014.8     26.3     None     19.3       65     22.6      1.6    340.0      3.0    310.0      4.5    330.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.0     19.3     19.1     18.7    -99.5     18.9     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.43        8     34.5     None   -99.95     None     26.4     24.6
72C440 2025030213   1008.8   1013.2     26.2     None     19.4       65     22.5      1.8    300.0      2.3    310.0      3.6    280.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     21.6     19.7     19.3     18.7    -99.5     18.9     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.37        8     33.9     None   -99.95     None     26.8     25.8
72C440 2025030214   1007.5   1011.9     26.2     None     19.6       67     22.8      2.0    280.0      2.1    280.0      4.1    280.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.1     20.1     19.5     18.8    -99.5     19.0     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.88        8     33.9     None   -99.95     None     26.8     25.9
72C440 2025030215   1007.2   1011.6     24.5     None     19.5       73     22.8      2.0    280.0      2.5    280.0      5.2    270.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     20.4     19.8     18.9    -99.5     19.0     18.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.13        6     30.9     None   -99.95     None     26.3     24.5
72C440 2025030216   1006.9   1011.4     24.2     None     20.1       78     23.6      1.3    260.0      2.7    270.0      4.8    260.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     22.2     20.6     20.1     19.0    -99.5     19.0     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.83        6     30.2     None   -99.95     None     25.0     24.2
72C440 2025030217   1007.2   1011.6     23.7     None     20.2       80     23.6      2.1    240.0      2.1    240.0      3.8    230.0      0.0     -9.5      0.8     None     None     None     None     None     None     None     None     None     None     None     None     22.2     20.7     20.2     19.2    -99.5     19.0     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.48        5     29.4     None   -99.95     None     24.6     23.7
72C440 2025030218   1007.2   1011.7     22.5     None     20.1       86     23.5      1.0    260.0      2.1    240.0      3.5    240.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     22.0     20.7     20.3     19.3    -99.5     19.0     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.1        4     27.2     None   -99.95     None     23.7     22.5
72C440 2025030219   1007.4   1011.9     21.8     None     20.0       89     23.3      1.0    230.0      1.4    250.0      2.7    260.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.7     20.7     20.4     19.4    -99.5     19.0     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     26.1     None   -99.95     None     22.5     21.8
72C440 2025030220   1007.8   1012.3     21.0     None     19.9       93     23.3      0.6    210.0      1.1    220.0      1.7    250.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.5     20.6     20.4     19.5    -99.5     19.1     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.9     None   -99.95     None     21.8     21.0
72C440 2025030221   1007.9   1012.3     20.9     None     20.1       95     23.6      0.8    200.0      0.8    210.0      1.3    230.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.3     20.5     20.3     19.5    -99.5     19.1     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.8     None   -99.95     None     21.0     20.9
72C440 2025030222   1007.7   1012.2     20.7     None     20.1       96     23.5      0.9    190.0      1.0    200.0      1.3    190.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.1     20.4     20.3     19.6    -99.5     19.1     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     24.4     None   -99.95     None     21.0     20.6
72C440 2025030223   1007.7   1012.1     20.7     None     20.1       96     23.5      1.0    190.0      1.2    180.0      1.7    170.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     21.0     20.2     20.2     19.6    -99.5     19.2     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     24.4     None   -99.95     None     20.9     20.5
72C440 2025030224   1007.3   1011.7     21.5     None     20.0       91     23.4      1.3    170.0      1.7    170.0      2.5    170.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.8     20.1     20.1     19.6    -99.5     19.2     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     25.5     None   -99.95     None     21.4     20.5
72C440 2025030301   1006.8   1011.2     21.6     None     20.1       91     23.5      1.0    190.0      1.6    210.0      3.1    200.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.7     20.0     20.1     19.6    -99.5     19.2     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     25.8     None   -99.95     None     21.6     21.3
72C440 2025030302   1006.6   1011.0     21.5     None     20.2       92     23.6      0.8    180.0      1.6    200.0      2.8    180.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.9     20.0     19.5    -99.5     19.3     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     25.6     None   -99.95     None     21.8     21.4
72C440 2025030303   1006.4   1010.8     22.1     None     20.5       90     24.1      0.9    200.0      1.4    180.0      2.6    180.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.9     19.9     19.5    -99.5     19.3     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     26.6     None   -99.95     None     22.1     21.4
72C440 2025030304   1006.3   1010.7     22.3     None     20.6       90     24.3      0.7    190.0      1.2    200.0      2.4    200.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.8     19.9     19.5    -99.5     19.3     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     27.0     None   -99.95     None     22.3     22.1
72C440 2025030305   1006.6   1011.0     22.0     None     21.0       94     24.9      1.2    300.0      1.3    310.0      2.6    320.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.8     19.8     19.5    -99.5     19.3     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     26.4     None   -99.95     None     22.4     22.0
72C440 2025030306   1007.2   1011.6     20.5     None     20.2       98     23.7      0.0      0.0      2.2    310.0      4.0    310.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.8     19.8     19.5    -99.5     19.4     18.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     24.1     None   -99.95     None     22.0     20.4
72C440 2025030307   1007.1   1011.6     20.8     None     20.6       99     24.3      0.0      0.0      0.7    170.0      1.6    180.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.8     19.8     19.4    -99.5     19.4     18.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        0     24.5     None   -99.95     None     20.8     20.5
72C440 2025030308   1007.6   1012.1     21.3     None     21.0       98     24.9      0.6    360.0      0.8    320.0      1.5    280.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     19.7     19.8     19.4    -99.5     19.4     18.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.22        3     25.3     None   -99.95     None     21.4     20.8
72C440 2025030309   1008.2   1012.7     21.8     None     20.6       92     24.2      1.3    330.0      1.7    320.0      2.8    310.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     20.7     19.8     19.8     19.4    -99.5     19.4     18.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.36        3     26.1     None   -99.95     None     21.8     21.3
72C440 2025030310   1008.3   1012.9     22.1     None     21.4       95     25.3      1.5     10.0      1.9    330.0      3.2    330.0      0.0     -9.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     20.8     19.8     19.8     19.4    -99.5     19.4     18.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.46        0     26.5     None   -99.95     None     22.1     21.6
72C440 2025030311   1008.5   1013.0     20.9     None     20.6       98     24.3      0.4     40.0      1.9    320.0      4.0    340.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     20.9     19.9     19.8     19.4    -99.5     19.5     18.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.28        1     24.7     None   -99.95     None     22.1     20.8
72C440 2025030312   1007.1   1011.6     21.8     None     21.6       98     25.7      0.7    140.0      1.4    140.0      2.3    150.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     21.0     19.9     19.9     19.4    -99.5     19.5     18.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.38        8     26.1     None   -99.95     None     21.8     20.8
