* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2026020111   1020.3   1024.9     14.3     None     12.9     91.0     14.8      6.0     40.0      6.4     50.0     14.4     70.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     15.7     15.5     16.1     16.8    -99.5     18.9     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.35        0     16.2     None   -99.95     None     14.4     14.1
72C440 2026020112   1019.1   1023.7     14.4     None     13.6     95.0     15.5      5.8     40.0      6.6     50.0     12.7     50.0      0.0     -9.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     15.8     15.5     16.1     16.8    -99.5     18.9     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.5        8     16.3     None   -99.95     None     14.6     14.2
72C440 2026020113   1018.1   1022.8     14.3     None     13.4     94.0     15.4      6.1     40.0      6.5     40.0     14.0     50.0      0.0     -9.5      0.5     None     None     None     None     None     None     None     None     None     None     None     None     15.9     15.6     16.1     16.7    -99.5     18.9     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.49        8     16.3     None   -99.95     None     14.8     14.3
72C440 2026020114   1017.6   1022.2     14.4     None     13.7     95.0     15.6      5.6     40.0      6.5     40.0     12.0     50.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     15.9     15.6     16.1     16.7    -99.5     18.9     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.32        6     16.4     None   -99.95     None     14.4     14.0
72C440 2026020115   1018.0   1022.6     14.9     None     13.7     92.0     15.7      4.7     40.0      5.7     40.0     10.3     50.0      0.5     -9.5      0.5     None     None     None     None     None     None     None     None     None     None     None     None     16.0     15.7     16.1     16.7    -99.5     18.9     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.47        6     17.0     None   -99.95     None     15.0     14.3
72C440 2026020116   1017.7   1022.3     15.5     None     13.4     87.0     15.3      5.2     50.0      5.6     50.0     10.4     60.0      0.0     -9.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     16.1     15.7     16.2     16.7    -99.5     18.9     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.47        5     17.5     None   -99.95     None     15.5     14.8
72C440 2026020117   1017.4   1022.0     15.2     None     13.1     87.0     15.1      4.3     60.0      5.5     60.0     11.2     40.0      0.0     -9.5      0.1     None     None     None     None     None     None     None     None     None     None     None     None     16.1     15.8     16.2     16.7    -99.5     18.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.26        8     17.2     None   -99.95     None     15.5     15.1
72C440 2026020118   1018.5   1023.0     15.1     None     13.3     89.0     15.3      4.9     30.0      4.9     30.0      9.3     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     15.8     16.2     16.7    -99.5     18.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.02        3     17.1     None   -99.95     None     15.2     15.0
72C440 2026020119   1019.2   1023.8     15.6     None     13.0     84.0     14.9      5.3     40.0      6.2     30.0     12.1     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.1     15.8     16.2     16.7    -99.5     18.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.8     None   -99.95     None     15.7     15.1
72C440 2026020120   1019.9   1024.5     14.0     None     13.1     94.0     15.1      6.2     40.0      6.3     40.0     12.8     20.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     16.0     15.8     16.2     16.7    -99.5     18.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     16.0     None   -99.95     None     15.6     14.0
72C440 2026020121   1019.8   1024.4     13.5     None     12.8     95.0     14.8      6.4     40.0      7.2     40.0     13.2     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.9     15.7     16.2     16.7    -99.5     18.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     15.5     None   -99.95     None     14.0     13.5
72C440 2026020122   1020.3   1024.9     13.7     None     13.4     97.0     15.4      5.4     30.0      6.3     40.0     12.2     10.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.9     15.7     16.2     16.7    -99.5     18.8     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     15.7     None   -99.95     None     13.8     13.4
72C440 2026020123   1020.5   1025.1     13.8     None     13.6     98.0     15.5      6.1     30.0      6.1     30.0     11.9     20.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.8     15.6     16.2     16.7    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     15.8     None   -99.95     None     13.9     13.7
72C440 2026020124   1020.4   1025.1     13.7     None     13.5     98.0     15.4      5.2     30.0      6.5     30.0     11.2     20.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.8     15.6     16.1     16.6    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     15.6     None   -99.95     None     13.8     13.5
72C440 2026020201   1020.3   1024.9     14.0     None     13.8     99.0     15.8      4.6     40.0      5.6     40.0     10.4     20.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     15.6     16.1     16.6    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     15.9     None   -99.95     None     14.1     13.7
72C440 2026020202   1020.0   1024.6     14.0     None     13.9     99.0     15.9      4.2     50.0      5.1     40.0      9.3     40.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     15.5     16.1     16.6    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     16.0     None   -99.95     None     14.1     13.9
72C440 2026020203   1020.0   1024.6     14.1     None     13.9     98.0     15.8      4.1     40.0      4.2     50.0      7.8     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     15.5     16.0     16.6    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     16.1     None   -99.95     None     14.1     14.0
72C440 2026020204   1019.9   1024.5     13.8     None     13.4     97.0     15.4      4.4     50.0      4.8     40.0      9.9     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     15.5     16.0     16.5    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     15.7     None   -99.95     None     14.1     13.8
72C440 2026020205   1020.1   1024.8     13.9     None     13.2     95.0     15.2      4.3     50.0      4.5     50.0     10.7     60.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.6     15.4     16.0     16.5    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     15.8     None   -99.95     None     13.9     13.8
72C440 2026020206   1020.2   1024.9     13.8     None     13.0     95.0     15.0      4.7     40.0      5.2     40.0      9.4     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.6     15.4     15.9     16.5    -99.5     18.7     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     15.8     None   -99.95     None     14.0     13.7
72C440 2026020207   1020.5   1025.1     13.9     None     13.0     94.0     14.9      4.0     50.0      5.0     50.0     11.3     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     15.4     15.9     16.5    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     15.9     None   -99.95     None     13.9     13.8
72C440 2026020208   1021.2   1025.8     13.8     None     13.0     94.0     14.9      4.8     40.0      5.5     40.0     10.6     20.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     15.3     15.9     16.4    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        3     15.8     None   -99.95     None     13.9     13.8
72C440 2026020209   1021.9   1026.6     13.4     None     12.7     95.0     14.7      6.0     40.0      6.3     40.0     13.6     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     15.3     15.9     16.4    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.1        3     15.4     None   -99.95     None     13.8     13.4
72C440 2026020210   1022.2   1026.9     13.2     None     12.6     96.0     14.6      5.5     40.0      6.4     40.0     12.6     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.4     15.3     15.8     16.4    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.17        1     15.2     None   -99.95     None     13.4     13.1
72C440 2026020211   1022.1   1026.8     12.9     None     12.4     96.0     14.4      5.8     40.0      6.4     40.0     13.0     50.0      0.5     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.4     15.2     15.8     16.4    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.18        1     14.9     None   -99.95     None     13.2     13.0
72C440 2026020212   1021.4   1026.1     12.7     None     12.0     95.0     14.0      6.5     30.0      7.0     40.0     12.1     10.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.3     15.2     15.8     16.3    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.24        8     14.7     None   -99.95     None     13.0     12.6
72C440 2026020213   1021.0   1025.6     12.8     None     11.3     90.0     13.3      7.0     40.0      7.3     30.0     12.8     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.3     15.2     15.7     16.3    -99.5     18.6     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.27        8     14.7     None   -99.95     None     12.9     12.7
72C440 2026020214   1020.6   1025.2     12.9     None     10.6     85.0     12.8      6.7     40.0      7.1     40.0     13.2     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.3     15.1     15.7     16.3    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.29        7     14.9     None   -99.95     None     12.9     12.8
72C440 2026020215   1020.4   1025.0     12.8     None     10.6     86.0     12.8      6.5     40.0      6.9     40.0     13.4     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.2     15.1     15.7     16.3    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.2        7     14.8     None   -99.95     None     13.0     12.7
72C440 2026020216   1020.4   1025.1     12.7     None     11.1     89.0     13.2      6.2     40.0      6.8     40.0     12.9     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.1     15.0     15.6     16.2    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.11        6     14.7     None   -99.95     None     12.9     12.7
72C440 2026020217   1020.4   1025.0     13.4     None     11.9     90.0     13.9      5.9     50.0      6.6     40.0     13.5     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.1     15.0     15.6     16.2    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.09        5     15.3     None   -99.95     None     13.4     12.7
72C440 2026020218   1020.9   1025.5     14.0     None     11.5     85.0     13.6      6.5     50.0      7.4     50.0     15.2     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.1     15.0     15.6     16.2    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     15.9     None   -99.95     None     14.0     13.4
72C440 2026020219   1021.7   1026.2     13.7     None     11.7     87.0     13.7      6.2     50.0      7.3     50.0     15.9     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.0     14.9     15.5     16.2    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     15.7     None   -99.95     None     14.0     13.7
72C440 2026020220   1022.2   1026.9     13.7     None     11.2     84.0     13.3      7.1     50.0      7.3     50.0     14.9     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.0     14.9     15.5     16.1    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     15.7     None   -99.95     None     13.7     13.6
72C440 2026020221   1022.3   1027.0     14.0     None     11.1     82.0     13.2      6.6     50.0      7.5     50.0     15.9     80.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.9     14.8     15.5     16.1    -99.5     18.5     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     15.9     None   -99.95     None     14.0     13.7
72C440 2026020222   1022.1   1026.8     13.8     None     11.0     83.0     13.1      7.3     60.0      7.3     60.0     15.9     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.9     14.8     15.4     16.1    -99.5     18.4     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     15.8     None   -99.95     None     14.0     13.8
72C440 2026020223   1021.7   1026.4     13.9     None     10.4     79.0     12.6      7.5     50.0      8.2     60.0     16.1     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.8     14.7     15.4     16.0    -99.5     18.4     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     15.9     None   -99.95     None     14.0     13.8
72C440 2026020224   1021.7   1026.4     13.8     None      9.9     77.0     12.2      7.5     50.0      7.7     50.0     16.2     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.8     14.7     15.3     16.0    -99.5     18.4     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     15.8     None   -99.95     None     14.0     13.8
72C440 2026020301   1021.2   1025.9     14.0     None      9.8     75.0     12.1      6.6     60.0      8.4     60.0     15.7     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.7     14.6     15.3     16.0    -99.5     18.4     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     15.9     None   -99.95     None     14.1     13.8
72C440 2026020302   1020.9   1025.6     14.0     None      9.7     75.0     12.0      7.5     60.0      7.8     60.0     17.3     80.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.6     14.6     15.2     15.9    -99.5     18.4     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     16.0     None   -99.95     None     14.1     13.9
72C440 2026020303   1021.0   1025.6     14.2     None      9.7     74.0     12.0      7.1     50.0      7.6     60.0     15.7     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.5     14.5     15.2     15.9    -99.5     18.4     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     16.2     None   -99.95     None     14.2     14.0
72C440 2026020304   1020.9   1025.5     14.2     None      9.7     74.0     12.0      6.5     50.0      7.4     60.0     14.8     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.5     14.4     15.1     15.9    -99.5     18.3     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     16.1     None   -99.95     None     14.3     14.1
72C440 2026020305   1021.0   1025.6     14.1     None      9.6     74.0     12.0      6.2     50.0      6.8     50.0     12.9     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.4     14.4     15.0     15.8    -99.5     18.3     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     16.1     None   -99.95     None     14.2     14.0
72C440 2026020306   1021.1   1025.7     14.2     None      9.4     72.0     11.8      6.1     60.0      6.2     50.0     12.9     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.4     14.3     15.0     15.8    -99.5     18.3     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     16.2     None   -99.95     None     14.2     14.1
72C440 2026020307   1021.1   1025.8     14.3     None      9.6     73.0     12.0      5.6     60.0      6.0     60.0     11.6     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     14.3     14.3     14.9     15.7    -99.5     18.3     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.02        2     16.3     None   -99.95     None     14.3     14.1
72C440 2026020308   1021.2   1025.8     15.8     None     10.2     69.0     12.5      5.6     50.0      6.2     50.0     13.1     60.0      0.0     -9.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     14.4     14.2     14.9     15.7    -99.5     18.3     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.38        2     17.9     None   -99.95     None     15.7     14.3
72C440 2026020309   1021.3   1025.9     17.6     None     10.5     62.0     12.7      5.9     60.0      6.9     50.0     13.0     60.0      0.0     -9.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     14.5     14.2     14.9     15.7    -99.5     18.3     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.06        2     20.1     None   -99.95     None     17.6     15.7
72C440 2026020310   1021.1   1025.7     18.6     None     11.5     63.0     13.6      6.9     60.0      7.3     60.0     14.9     70.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     14.7     14.3     14.9     15.6    -99.5     18.2     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.84        4     21.5     None   -99.95     None     18.6     17.6
72C440 2026020311   1020.3   1024.9     18.8     None     11.5     62.0     13.5      6.9     60.0      7.5     70.0     14.4     60.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     15.4     14.4     14.9     15.6    -99.5     18.2     19.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.23        8     21.7     None   -99.95     None     19.6     18.6
