* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025110118   1014.0   1016.5     23.2     None     17.0       68     19.4      6.3     60.0      7.5     60.0     11.7     90.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     28.4     None      0.0
467050 2025110119   1014.6   1017.1     23.3     None     16.8       67     19.1      6.3     60.0      6.6     60.0     10.5     70.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     28.6     None      0.0
467050 2025110120   1015.3   1017.8     23.5     None     16.8       66     19.1      7.2     60.0      7.4     60.0     12.6     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     29.0     None      0.0
467050 2025110121   1015.5   1018.0     23.1     None     17.3       70     19.7      6.8     70.0      7.4     60.0     12.1     60.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     21.9     22.7     23.6     23.8     24.5     24.7     25.4     27.5     26.5     25.3     None     None     None        1     None     None     None     None     None     None     None     None      0.0        1     28.3     None      0.0
467050 2025110122   1015.9   1018.4     22.1     None     18.1       78     20.8      5.9     50.0      7.1     60.0     11.0     70.0     -9.8      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     26.6     None      0.0
467050 2025110123   1015.8   1018.3     21.2     None     18.8       86     21.7      5.7     70.0      7.0     60.0     12.1     60.0     -9.8      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     25.2     None      0.0
467050 2025110124   1015.5   1018.0     21.0     None     18.8       87     21.7      5.2     70.0      6.2     70.0     10.5     60.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     24.9     None      0.0
467050 2025110201   1015.1   1017.6     21.1     None     18.7       86     21.6      5.7     50.0      5.8     50.0      8.6     50.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     25.0     None      0.0
467050 2025110202   1015.2   1017.7     21.3     None     18.7       85     21.6      5.6     60.0      6.7     50.0     10.5     50.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     25.3     None      0.0
467050 2025110203   1015.1   1017.6     20.8     None     18.7       88     21.6      5.2     60.0      5.8     60.0      8.8     50.0     -9.8      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     24.6     None      0.0
467050 2025110204   1015.5   1018.0     20.4     None     19.1       92     22.1      5.1     60.0      5.3     60.0      7.8     80.0     -9.8      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     24.0     None      0.0
467050 2025110205   1015.9   1018.5     20.3     None     19.1       93     22.1      5.3     60.0      6.5     60.0     10.2     60.0      0.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     None     21.6     22.3     23.2     23.4     24.4     24.7     25.4     27.5     26.6     25.4     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     23.8     None      0.0
467050 2025110206   1016.2   1018.8     20.0     None     18.3       90     21.0      5.7     70.0      6.7     60.0     11.2     60.0     -9.8      0.8      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     23.4     None      0.0
467050 2025110207   1016.7   1019.3     20.2     None     18.7       91     21.6      5.4     60.0      5.8     60.0      8.9     70.0     -9.8      0.6      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.05        3     23.7     None     0.03
467050 2025110208   1017.4   1020.0     20.3     None     18.4       89     21.2      4.9     70.0      5.7     60.0      8.9    150.0      0.5      0.7      0.0     12.0     None      3.0      0.6     None        9        1        /        2        7      3.0     10.0     None     None     None     None     None     None     None     None     None     None     None        1     None        1     None     None     None     None     None     None     None     None     0.21        3     23.8     None     0.26
467050 2025110209   1017.7   1020.2     21.2     None     18.0       82     20.6      5.7     70.0      6.0     60.0     10.0     60.0     -9.8      0.2      0.0     16.0     None      3.0      0.6     None        9        1        /        7        1      3.0     10.0     21.4     22.1     23.0     23.2     24.3     24.7     25.4     27.4     26.6     25.4     None        1     None        1     None     None     None     None     None     None     None     None     0.51        3     25.2     None     0.93
467050 2025110210   1017.6   1020.1     22.1     None     18.5       80     21.3      6.1     80.0      6.3     80.0     10.4     80.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.07        0     26.6     None      2.4
467050 2025110211   1017.0   1019.5     23.1     None     16.9       68     19.3      6.3     90.0      6.6     80.0     11.3     70.0      0.0      0.0      0.1     16.0      7.0      3.0      0.9        1        3        5        9        7        5     None      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.59        8     28.3     None     3.76
467050 2025110212   1016.6   1019.1     23.7     None     17.2       67     19.6      5.2     70.0      6.4     90.0     10.6     80.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.54        7     29.3     None     4.14
467050 2025110213   1015.7   1018.2     24.3     None     17.3       65     19.7      5.8     80.0      6.5     80.0     10.7     60.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.85        8     30.4     None     4.42
467050 2025110214   1015.1   1017.6     25.2     None     16.4       58     18.6      6.8     70.0      7.3     80.0     12.9     80.0      0.0      0.0      0.8     16.0      7.0      3.0      1.2        3        3        2        9        7        5     None      8.0     22.2     22.5     23.3     23.4     24.1     24.5     25.4     27.3     26.5     25.3     None        0     None     None     None     None     None     None     None     None     None     None      2.4        7     32.1     None     4.21
467050 2025110215   1015.3   1017.8     24.3     None     16.8       63     19.1      6.4     60.0      6.9     60.0     11.1     90.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.26        5     30.4     None     1.97
467050 2025110216   1015.3   1017.8     23.5     None     17.3       68     19.7      6.4     70.0      6.4     70.0     11.7     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.55        5     29.0     None     0.67
467050 2025110217   1016.2   1018.7     22.9     None     16.9       69     19.3      7.6     60.0      8.6     60.0     14.2     60.0      0.0      0.0      0.0     12.0     None     None      0.9     None     None       10        /        /        6      0.9     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.18        3     27.9     None     0.12
467050 2025110218   1016.8   1019.3     22.1     None     16.6       71     18.9      7.8     60.0      8.9     60.0     16.7     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     26.6     None      0.0
467050 2025110219   1017.5   1020.0     21.8     None     17.0       74     19.4      6.0     70.0      7.7     60.0     12.1     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     26.1     None      0.0
467050 2025110220   1017.7   1020.2     21.7     None     16.4       72     18.6      5.9     70.0      6.2     70.0     11.0     80.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     26.0     None      0.0
467050 2025110221   1017.7   1020.2     21.7     None     16.7       73     19.0      5.3     70.0      6.5     70.0     10.8     80.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     21.4     22.3     23.3     23.6     24.3     24.5     25.4     27.4     26.6     25.4     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     26.0     None      0.0
467050 2025110222   1017.8   1020.3     22.0     None     16.3       70     18.5      5.1     70.0      5.9     70.0     10.5     80.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     26.4     None      0.0
467050 2025110223   1017.6   1020.1     22.0     None     16.1       69     18.3      5.4     70.0      6.1     70.0     10.0     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     26.4     None      0.0
467050 2025110224   1017.4   1019.9     22.4     None     15.5       65     17.6      6.6     60.0      6.9     60.0     11.8     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     27.1     None      0.0
467050 2025110301   1017.0   1019.5     22.4     None     15.3       64     17.4      7.2     60.0      7.2     60.0     12.2     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     27.1     None      0.0
467050 2025110302   1017.3   1019.8     22.5     None     17.0       71     19.4      9.5     60.0     10.4     60.0     14.9     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     27.3     None      0.0
467050 2025110303   1017.4   1019.9     21.9     None     16.6       72     18.9      8.5     60.0      9.9     60.0     15.5     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     26.3     None      0.0
467050 2025110304   1017.6   1020.2     20.4     None     17.2       82     19.6      6.2     70.0      8.8     60.0     14.1     70.0     -9.8      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.0     None      0.0
467050 2025110305   1017.7   1020.3     19.9     None     17.7       87     20.3      7.8     60.0      8.5     60.0     13.3     40.0     -9.8      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     20.9     21.8     22.8     23.1     24.1     24.5     25.5     27.3     26.6     25.4     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     23.2     None      0.0
467050 2025110306   1018.5   1021.1     19.3     None     18.0       92     20.6      6.1     60.0      7.7     60.0     12.9     60.0     -9.8      0.9      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     22.4     None      0.0
467050 2025110307   1018.7   1021.3     19.0     None     18.0       94     20.6      7.4     60.0      7.9     60.0     12.9     70.0      0.5      1.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.02        3     22.0     None     0.02
467050 2025110308   1019.0   1021.6     19.2     None     17.9       92     20.5      6.8     60.0      7.6     60.0     11.7     60.0      0.5      0.9      0.0      8.0     None      2.1      0.6     None        3        7        /        2        7      0.6     10.0     None     None     None     None     None     None     None     None     None     None     None        1     None        1     None     None     None     None     None     None     None     None     0.09        3     22.2     None     0.13
467050 2025110309   1019.2   1021.8     20.1     None     17.3       84     19.7      7.0     60.0      7.3     60.0     12.4     60.0     -9.8      0.1      0.0     12.0     None     None      1.2     None     None       10        /        /        5      1.2     10.0     20.7     21.5     22.5     22.8     24.0     24.5     25.5     27.3     26.6     25.4     None        1     None        1     None     None     None     None     None     None     None     None     0.27        1     23.5     None     0.56
467050 2025110310   1019.4   1022.0     20.7     None     17.5       82     20.0      5.6     70.0      7.0     60.0     11.9     80.0     -9.8      0.1      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.37        1     24.4     None     0.96
467050 2025110311   1018.8   1021.4     20.8     None     18.0       84     20.6      5.7     70.0      6.1     80.0     10.0     80.0     -9.8      0.4      0.0     12.0     None     None      0.9     None     None       10        /        /        7      0.9     10.0     None     None     None     None     None     None     None     None     None     None     None        1     None        1     None     None     None     None     None     None     None     None     0.48        8     24.6     None     1.45
467050 2025110312   1017.7   1020.2     21.5     None     18.1       81     20.8      6.8     60.0      7.6     60.0     13.2     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.22        8     25.6     None     3.38
467050 2025110313   1016.9   1019.4     22.4     None     19.2       82     22.2      8.8     60.0      8.8     60.0     13.5     60.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      1.6        7     27.1     None     4.02
467050 2025110314   1016.4   1018.9     21.7     None     18.3       81     21.0     10.3     60.0     10.3     60.0     15.9     50.0      0.0      0.0      0.2     16.0     None     None      0.9     None     None       10        /        /        5      0.9     10.0     21.4     21.9     22.7     22.9     23.8     24.3     25.4     27.3     26.5     25.4     None        0     None     None     None     None     None     None     None     None     None     None     1.33        8     26.0     None     3.06
467050 2025110315   1016.0   1018.5     21.8     None     18.2       80     20.9      9.9     60.0     10.9     60.0     17.0     50.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.29        8     26.1     None     2.23
467050 2025110316   1016.4   1018.9     21.1     None     18.1       83     20.8      9.6     60.0     10.2     60.0     17.8     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.3        5     25.0     None     0.47
467050 2025110317   1016.4   1018.9     20.9     None     17.9       83     20.5      9.2     60.0     10.0     60.0     15.0     70.0     -9.8      0.2      0.0     20.0     None     None      0.6     None     None       10        /        /        5      0.6     10.0     None     None     None     None     None     None     None     None     None     None     None        1     None        1     None     None     None     None     None     None     None     None     0.04        4     24.7     None     0.04
467050 2025110318   1016.6   1019.2     20.5     None     17.7       84     20.3      9.9     60.0     11.8     60.0     17.8     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     24.1     None      0.0
467050 2025110319   1017.1   1019.7     19.9     None     17.7       87     20.3     10.4     60.0     10.9     60.0     16.7     50.0     -9.8      0.1      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None      0.0        3     23.2     None      0.0
467050 2025110320   1017.8   1020.4     20.1     None     18.1       88     20.8      8.1     60.0     10.2     60.0     15.0     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     23.5     None      0.0
467050 2025110321   1017.8   1020.4     20.5     None     18.1       86     20.8      7.6     60.0      9.1     60.0     15.2     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     20.8     21.6     22.5     22.9     23.9     24.3     25.4     27.3     26.5     25.4     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     24.1     None      0.0
