* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025080111    999.0   1001.4     31.8     None     25.7       70     33.0      5.9    240.0      6.2    240.0     10.0    230.0      0.0      0.0      0.5     16.0      7.0      3.0      1.2        2        3        2        9        7        4     None      7.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     2.44        0     47.0     None      6.8
467050 2025080112    998.7   1001.1     32.1     None     26.4       72     34.4      6.5    240.0      7.6    240.0     11.0    250.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.66        8     47.8     None    10.16
467050 2025080113    998.0   1000.4     32.3     None     26.4       71     34.4      6.3    240.0      6.7    240.0     10.1    250.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.61        8     48.4     None    10.15
467050 2025080114    997.4    999.8     31.7     None     27.2       77     36.1      5.5    250.0      7.5    250.0     10.4    260.0      0.0      0.0      1.0     16.0      7.0      3.0      0.9        2        1        3        1        7        3     None      6.0     29.1     28.5     28.8     28.5     28.0     27.9     27.4     26.6     24.4     23.3     None        0     None     None     None     None     None     None     None     None     None     None     3.38        8     46.8     None      8.7
467050 2025080115    997.6   1000.0     30.7     None     27.1       81     35.9      6.7    240.0      8.2    250.0     11.6    260.0      0.0      0.0      0.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.78        5     44.2     None     6.25
467050 2025080116    998.1   1000.5     31.2     None     26.7       77     35.0      6.7    240.0      8.4    250.0     11.7    240.0      0.0      0.0      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.39        3     45.5     None     4.04
467050 2025080117    998.9   1001.3     30.3     None     25.6       76     32.8      2.2    150.0      7.5    230.0     11.5    220.0      0.0      0.0      0.8     16.0      7.0      3.0      0.9        2        1        6        9        7        9      0.9      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.71        3     43.2     None      1.7
467050 2025080118    999.3   1001.7     30.0     None     27.2       85     36.1      5.2    240.0      5.2    240.0      9.2    250.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.56        1     42.4     None     0.27
467050 2025080119    999.5   1001.9     29.4     None     27.0       87     35.7      3.9    220.0      6.4    240.0     10.4    250.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.1        1     41.0     None     0.03
467050 2025080120    999.7   1002.1     29.3     None     26.5       85     34.6      2.2    220.0      3.8    220.0      5.1    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     40.8     None      0.0
467050 2025080121   1000.2   1002.6     29.1     None     25.9       83     33.4      3.4    220.0      4.9    230.0      7.4    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     28.5     28.9     29.3     29.2     28.6     28.1     27.5     26.7     24.6     23.5     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     40.3     None      0.0
467050 2025080122   1000.8   1003.2     29.0     None     25.6       82     32.8      6.2    230.0      6.5    230.0      9.9    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     40.1     None      0.0
467050 2025080123   1000.7   1003.1     28.7     None     25.1       81     31.9      6.2    230.0      6.3    230.0      9.6    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     39.4     None      0.0
467050 2025080124   1000.5   1002.9     28.6     None     24.8       80     31.3      5.1    220.0      6.4    230.0     10.0    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     39.1     None      0.0
467050 2025080201   1000.0   1002.4     28.7     None     24.7       79     31.1      6.0    230.0      7.1    230.0     10.6    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     39.4     None      0.0
467050 2025080202   1000.0   1002.4     28.6     None     24.8       80     31.3      6.7    230.0      7.8    230.0     11.7    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     39.1     None      0.0
467050 2025080203    999.9   1002.3     28.5     None     24.3       78     30.4      5.1    220.0      6.6    230.0      9.5    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     38.9     None      0.0
467050 2025080204   1000.2   1002.6     28.5     None     24.1       77     30.0      3.7    210.0      4.9    220.0      7.5    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     38.9     None      0.0
467050 2025080205   1000.2   1002.6     28.2     None     24.2       79     30.2      2.9    210.0      4.1    220.0      7.0    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     27.6     28.0     28.6     28.5     28.6     28.3     27.6     26.7     24.7     23.5     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     38.2     None      0.0
467050 2025080206   1000.7   1003.2     27.8     None     24.5       82     30.7      1.6    160.0      2.7    210.0      3.7    200.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        3     37.4     None     0.02
467050 2025080207   1001.3   1003.7     29.5     None     25.1       77     31.9      2.8    210.0      2.8    210.0      5.0    210.0      0.0      0.0      0.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.54        3     41.2     None     0.29
467050 2025080208   1001.5   1003.9     30.7     None     25.5       74     32.6      5.8    230.0      6.0    220.0      9.4    220.0      0.0      0.0      0.6     16.0     None      3.0      1.2     None        7        2        /        7        1      3.0      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.23        1     44.2     None     1.36
467050 2025080209   1001.5   1003.9     31.6     None     25.0       68     31.7      7.6    220.0      7.6    220.0     11.6    220.0      0.0      0.0      0.8     20.0      7.0      3.0      1.2        2        2        2        1        7        5     None      6.0     28.0     28.0     28.5     28.3     28.4     28.2     27.5     26.6     24.5     23.4     None        0     None     None     None     None     None     None     None     None     None     None     1.89        0     46.5     None     3.32
467050 2025080210   1001.6   1004.0     32.3     None     25.4       67     32.4      7.1    230.0      8.1    220.0     12.4    240.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.8        2     48.4     None     6.27
467050 2025080211   1001.6   1004.0     31.3     None     26.4       75     34.4      7.6    240.0      8.0    240.0     12.1    220.0      0.0      0.0      0.8     20.0      7.0      3.0      1.2        1        3        3        1        7        4     None      7.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     2.92        0     45.7     None     8.04
467050 2025080212   1001.3   1003.7     31.3     None     25.7       72     33.0      8.9    240.0     10.1    240.0     14.3    240.0      0.0      0.0      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.47        8     45.7     None     9.91
467050 2025080213   1000.8   1003.2     31.7     None     25.1       68     31.9      9.1    240.0      9.7    240.0     15.6    240.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.62        8     46.8     None    10.32
467050 2025080214   1000.3   1002.7     31.3     None     25.9       73     33.4      9.2    240.0      9.7    240.0     15.3    230.0      0.0      0.0      1.0     20.0      7.0      3.0      0.9        1        2        4        3        6        9     None      7.0     28.9     28.7     29.1     28.8     28.3     28.1     27.5     26.6     24.5     23.4     None        0     None     None     None     None     None     None     None     None     None     None     3.39        8     45.7     None     9.02
467050 2025080215   1000.3   1002.7     31.7     None     24.6       66     30.9     10.5    230.0     11.8    240.0     18.0    230.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.94        7     46.8     None     6.65
467050 2025080216   1000.2   1002.6     31.6     None     24.0       64     29.8     10.8    220.0     11.7    230.0     18.3    230.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.18        8     46.5     None     3.77
467050 2025080217   1000.4   1002.8     30.6     None     24.5       70     30.7     10.6    230.0     10.8    220.0     16.3    220.0      0.0      0.0      1.0     25.0      7.0      3.0      0.9        2        3        1        9        7        4     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.45        3     43.9     None     1.59
467050 2025080218   1000.8   1003.2     29.6     None     24.0       72     29.8      9.2    230.0     10.9    230.0     16.3    210.0      0.0      0.0      0.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.49        3     41.5     None     0.36
467050 2025080219   1000.7   1003.1     29.4     None     23.8       72     29.5     10.0    230.0     10.5    230.0     16.2    230.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        0     41.0     None     0.02
467050 2025080220   1000.5   1002.9     29.4     None     23.6       71     29.1      7.6    220.0     10.5    230.0     17.0    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     41.0     None      0.0
467050 2025080221   1001.3   1003.7     29.6     None     24.3       73     30.4      8.0    230.0      9.6    230.0     14.6    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     27.4     28.3     29.0     29.0     28.7     28.3     27.6     26.7     24.7     23.5     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     41.5     None      0.0
467050 2025080222   1001.9   1004.3     29.5     None     25.1       77     31.9      8.2    240.0      8.3    230.0     13.2    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     41.2     None      0.0
467050 2025080223   1001.8   1004.2     29.2     None     24.3       75     30.4      8.7    230.0      9.5    240.0     16.5    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     40.5     None      0.0
467050 2025080224   1001.5   1003.9     29.3     None     23.7       72     29.3      9.2    220.0      9.4    230.0     15.6    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     40.8     None      0.0
467050 2025080301   1001.0   1003.4     29.3     None     23.5       71     29.0      8.5    220.0      9.7    220.0     14.5    200.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     40.8     None      0.0
467050 2025080302   1000.5   1002.9     29.3     None     24.2       74     30.2      7.7    220.0      8.7    220.0     13.6    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     40.8     None      0.0
467050 2025080303   1000.9   1003.3     29.5     None     24.6       75     30.9      8.6    230.0      8.7    230.0     13.7    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     41.2     None      0.0
467050 2025080304   1000.8   1003.2     29.3     None     24.4       75     30.6      6.8    220.0      8.7    220.0     14.4    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     40.8     None      0.0
467050 2025080305   1001.2   1003.6     28.7     None     24.3       77     30.4      5.4    220.0      7.2    220.0     10.8    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     27.3     27.8     28.4     28.4     28.6     28.4     27.6     26.7     24.7     23.5     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     39.4     None      0.0
467050 2025080306   1001.4   1003.8     28.8     None     23.9       75     29.7      5.3    220.0      6.2    220.0     10.6    220.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        3     39.6     None     0.02
467050 2025080307   1001.6   1004.0     29.4     None     23.8       72     29.5      5.8    230.0      5.9    230.0      9.5    230.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.34        3     41.0     None     0.29
467050 2025080308   1002.1   1004.5     30.7     None     24.1       68     30.0      7.8    230.0      7.9    230.0     12.2    230.0      0.0      0.0      0.2     25.0     None      3.0      1.2     None        5        4        /        7        5     None      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.81        3     44.2     None     1.25
467050 2025080309   1002.7   1005.2     28.4     None     24.6       80     30.9      9.6    230.0     10.5    230.0     18.1    240.0     -9.8      0.3      0.6     25.0      7.0      2.4      1.2        1        2        5        9        2        4     None      8.0     27.3     27.7     28.3     28.2     28.4     28.3     27.6     26.7     24.6     23.5     None        1     None        4     None     None     None     None     None     None     None     None     1.77        3     38.7     None     3.02
467050 2025080310   1002.8   1005.2     29.4     None     24.3       74     30.4      8.6    230.0      9.4    230.0     14.0    230.0     -9.8      0.4      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        4     None     None     None     None     None     None     None     None     2.02        3     41.0     None     4.99
467050 2025080311   1002.5   1004.9     29.5     None     24.4       74     30.6      8.5    220.0      9.1    220.0     13.5    230.0      0.0      0.0      0.0     25.0     None      3.0      1.2     None        3        5        0        7        5     None      8.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.87        0     41.2     None     5.79
467050 2025080312   1002.0   1004.4     31.1     None     24.0       66     29.8      8.3    220.0      9.2    220.0     14.0    220.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.06        8     45.2     None     6.52
467050 2025080313   1001.1   1003.5     32.4     None     24.5       63     30.7      7.1    240.0      8.6    220.0     12.7    220.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.21        8     48.6     None     6.96
467050 2025080314   1000.7   1003.1     30.6     None     24.8       71     31.3      8.5    240.0      8.5    240.0     14.5    240.0      0.0      0.0      0.1     30.0      7.0      3.0      0.9        2        3        2        9        6        2     None      7.0     28.0     28.2     28.6     28.4     28.3     28.2     27.6     26.6     24.5     23.4     None        0     None     None     None     None     None     None     None     None     None     None     2.02        7     43.9     None     6.21
467050 2025080315   1000.3   1002.7     30.3     None     24.7       72     31.1      9.5    230.0     10.0    240.0     15.1    230.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.01        8     43.2     None     5.13
467050 2025080316   1001.0   1003.4     28.9     None     24.3       76     30.4     12.8    230.0     12.8    230.0     20.8    230.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.98        5     39.8     None     2.17
467050 2025080317   1001.6   1004.1     27.6     None     24.3       82     30.4      7.4    220.0     12.5    230.0     18.9    220.0     -9.8      0.2      0.0     25.0     None      3.0      1.2     None        3        6        /        7        4      1.2      9.0     None     None     None     None     None     None     None     None     None     None     None        1     None        4     None     None     None     None     None     None     None     None     0.69        3     36.9     None     1.07
467050 2025080318   1001.2   1003.7     27.5     None     24.0       81     29.8      7.4    220.0      7.8    220.0     12.5    220.0     -9.8      1.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        4     None     None     None     None     None     None     None     None     0.21        0     36.7     None     0.19
467050 2025080319   1001.3   1003.8     27.5     None     24.2       82     30.2      3.9    230.0      7.2    220.0     11.4    220.0      0.5      0.9      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        4     None     None     None     None     None     None     None     None     0.03        0     36.7     None     0.01
467050 2025080320   1001.6   1004.1     27.3     None     24.6       85     30.9      1.8    210.0      3.9    230.0      5.6    230.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        4     None     None     None     None     None     None     None     None      0.0        4     36.3     None      0.0
467050 2025080321   1001.8   1004.2     28.5     None     24.5       79     30.7      3.9    220.0      3.9    220.0      7.2    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     27.4     27.8     28.4     28.4     28.5     28.3     27.7     26.8     24.7     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     38.9     None      0.0
