* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025100218   1010.2   1012.7     28.9     None     24.5       77     30.7      0.5    320.0      2.3    330.0      3.4    330.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        2     39.8     None     0.03
467050 2025100219   1010.7   1013.2     28.5     None     24.3       78     30.4      0.1      0.0      0.8    340.0      2.1    320.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     38.9     None      0.0
467050 2025100220   1010.9   1013.4     28.4     None     24.2       78     30.2      0.7    150.0      0.7    150.0      1.5    130.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     38.7     None      0.0
467050 2025100221   1010.9   1013.4     27.8     None     24.2       81     30.2      0.1      0.0      0.7    150.0      1.5    120.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     29.5     30.2     31.0     31.2     30.7     30.0     28.6     28.7     26.1     24.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     37.4     None      0.0
467050 2025100222   1010.8   1013.3     27.2     None     24.3       84     30.4      0.4     70.0      0.4     70.0      1.4     20.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     36.1     None      0.0
467050 2025100223   1010.5   1013.0     26.7     None     23.2       81     28.4      0.1      0.0      0.7     90.0      1.7     80.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     35.0     None      0.0
467050 2025100224   1010.4   1012.9     26.5     None     23.4       83     28.8      0.6    180.0      1.0    260.0      1.7    270.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     34.6     None      0.0
467050 2025100301   1010.0   1012.5     26.9     None     24.7       88     31.1      1.1    210.0      2.3    210.0      3.4    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     35.4     None      0.0
467050 2025100302   1009.7   1012.2     26.5     None     24.4       88     30.6      2.1    210.0      2.2    200.0      3.4    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     34.6     None      0.0
467050 2025100303   1009.6   1012.1     26.4     None     24.6       90     30.9      0.9    210.0      2.2    210.0      3.1    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     34.4     None      0.0
467050 2025100304   1009.4   1011.9     26.2     None     24.8       92     31.3      1.0    170.0      1.5    180.0      2.2    170.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     34.0     None      0.0
467050 2025100305   1009.6   1012.1     26.2     None     24.6       91     30.9      1.6    180.0      2.0    170.0      3.1    170.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     28.5     29.1     29.9     30.0     30.6     30.1     28.6     28.8     26.2     24.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     34.0     None      0.0
467050 2025100306   1010.2   1012.7     26.0     None     24.6       92     30.9      1.6    180.0      1.8    180.0      2.6    180.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     33.6     None      0.0
467050 2025100307   1010.9   1013.4     27.3     None     25.1       88     31.9      1.0    160.0      2.0    180.0      2.6    180.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.27        3     36.3     None     0.14
467050 2025100308   1011.7   1014.2     28.8     None     25.2       81     32.1      1.5    120.0      2.0    150.0      3.5    110.0      0.0      0.0      1.0     12.0     None     None      1.2     None     None        6        0        0        2      1.2      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.01        2     39.6     None     0.86
467050 2025100309   1011.8   1014.3     30.3     None     24.5       71     30.7      0.9     20.0      2.0     90.0      3.6     60.0      0.0      0.0      1.0     12.0     None     None      0.9     None     None        6        0        0        2      0.9      6.0     29.3     29.0     29.7     29.6     30.2     29.9     28.5     28.6     26.0     24.6     None        0     None     None     None     None     None     None     None     None     None     None     1.83        1     43.2     None     2.44
467050 2025100310   1011.5   1014.0     30.1     None     24.7       73     31.1      3.2    320.0      3.7    330.0      5.3    350.0      0.0      0.0      0.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.23        0     42.7     None     3.95
467050 2025100311   1010.9   1013.3     31.0     None     24.7       69     31.1      4.1    320.0      4.1    330.0      6.2    340.0      0.0      0.0      0.9     12.0     None     None      1.2     None     None        4        0        0        2     None      4.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     2.65        8     44.9     None     5.74
467050 2025100312   1009.9   1012.3     31.5     None     24.1       65     30.0      4.1    320.0      4.7    320.0      6.9    340.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.17        8     46.2     None     7.42
467050 2025100313   1009.5   1011.9     30.9     None     25.3       72     32.2      4.4    310.0      4.9    320.0      7.3    330.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.14        7     44.7     None     7.15
467050 2025100314   1009.1   1011.6     30.3     None     25.4       75     32.4      3.5    340.0      4.6    310.0      7.3    310.0      0.0      0.0      1.0     12.0     None     None      0.9     None     None        3        0        0        1     None      3.0     31.3     30.6     31.0     30.5     30.1     29.8     28.7     28.6     26.0     24.5     None        0     None     None     None     None     None     None     None     None     None     None     2.76        6     43.2     None     5.51
467050 2025100315   1009.0   1011.4     30.7     None     24.9       71     31.5      3.8    320.0      3.8    330.0      6.7    330.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.18        7     44.2     None     3.39
467050 2025100316   1009.2   1011.7     30.3     None     24.2       70     30.2      3.1    320.0      4.1    320.0      6.4    320.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.44        5     43.2     None     1.55
467050 2025100317   1009.6   1012.1     29.5     None     24.2       73     30.2      2.1    330.0      3.1    320.0      4.9    340.0      0.0      0.0      1.0     16.0     None     None      0.6     None     None        1        0        0        1     None      1.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.62        3     41.2     None     0.39
467050 2025100318   1010.1   1012.6     28.9     None     24.7       78     31.1      1.6    310.0      2.6    320.0      4.0    330.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        2     39.8     None     0.03
467050 2025100319   1010.9   1013.4     28.6     None     24.8       80     31.3      0.3    240.0      1.9    310.0      3.2    310.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     39.1     None      0.0
467050 2025100320   1011.0   1013.5     28.5     None     25.1       82     31.9      0.5    300.0      0.9    290.0      1.7    330.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     38.9     None      0.0
467050 2025100321   1011.5   1014.0     27.8     None     25.2       86     32.1      0.7    120.0      0.9    320.0      1.8    110.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     29.7     30.3     31.1     31.3     30.8     30.0     29.3     28.7     26.1     24.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     37.4     None      0.0
