* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025010208   1018.0   1020.6     16.5     None     12.3       76     14.3      7.9     50.0      7.9     50.0     12.9     50.0      0.0      0.0      0.0     25.0     None      2.1      0.6     None        2        8        /        2        4      0.6     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.06        1     18.8     None     0.08
467050 2025010209   1018.4   1021.0     17.0     None     12.8       76     14.8      7.4     50.0      7.7     50.0     12.6     50.0      0.0      0.0      0.0     25.0     None      2.1      0.6     None        2        8        /        2        5      0.6     10.0     15.6     15.6     15.9     16.2     17.3     17.5     19.3     21.7     23.1     23.6     None        0     None     None     None     None     None     None     None     None     None     None     0.23        1     19.4     None     0.49
467050 2025010210   1018.1   1020.7     17.6     None     12.9       74     14.9      7.5     50.0      8.6     50.0     14.4     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.61        0     20.1     None     1.63
467050 2025010211   1017.8   1020.4     18.0     None     13.1       73     15.1      7.1     50.0      8.2     50.0     14.4     60.0      0.0      0.0      0.0     25.0     None      2.1      0.6     None        4        6        /        2        5      0.6     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.85        8     20.6     None     2.63
467050 2025010212   1016.4   1019.0     18.1     None     12.8       71     14.8      7.9     50.0      9.5     50.0     15.7     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.98        8     20.8     None     3.05
467050 2025010213   1015.3   1017.9     18.4     None     13.3       72     15.3      7.4     50.0      8.8     50.0     13.8     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.91        8     21.2     None     3.03
467050 2025010214   1014.6   1017.2     18.6     None     12.8       69     14.8      8.4     50.0      9.7     50.0     15.6     60.0      0.0      0.0      0.0     25.0     None      3.0      0.6     None        3        6        /        7        5      0.6      9.0     16.3     16.3     16.1     16.2     17.3     17.5     19.3     21.7     23.1     23.6     None        0     None     None     None     None     None     None     None     None     None     None     1.12        7     21.4     None     3.28
467050 2025010215   1014.5   1017.1     18.5     None     12.9       70     14.9      7.6     50.0      9.3     50.0     14.1     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.99        6     21.3     None     2.32
467050 2025010216   1014.6   1017.2     18.4     None     13.3       72     15.3      7.3     50.0      9.1     50.0     14.4     40.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.75        5     21.2     None     1.06
467050 2025010217   1014.7   1017.3     18.0     None     13.1       73     15.1      8.0     50.0      9.2     50.0     14.3     70.0      0.0      0.0      0.0     25.0     None     None      0.6     None     None        8        0        0        4      0.6      8.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.15        3     20.6     None     0.19
467050 2025010218   1015.3   1017.9     17.9     None     13.0       73     15.0      8.9     50.0      8.9     50.0     14.8     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     20.5     None     0.01
467050 2025010219   1016.1   1018.7     17.8     None     13.1       74     15.1      8.7     50.0      9.4     50.0     14.4     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     20.4     None      0.0
467050 2025010220   1016.8   1019.4     17.7     None     13.0       74     15.0      9.8     50.0      9.9     50.0     15.5     40.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     20.3     None      0.0
467050 2025010221   1017.4   1020.0     16.6     None     13.9       84     15.9      9.9     50.0     10.3     50.0     17.6     60.0     -9.8      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     16.1     16.1     16.3     16.4     17.5     17.5     19.3     21.7     23.0     23.6     None     None     None        1     None     None     None     None     None     None     None     None      0.0        1     18.9     None      0.0
467050 2025010222   1017.7   1020.3     15.7     None     14.1       90     16.1      8.9     50.0     10.2     50.0     16.5     70.0     -9.8      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.8     None      0.0
467050 2025010223   1017.3   1019.9     16.5     None     13.6       83     15.6      7.4     50.0      9.3     50.0     14.9     50.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     18.8     None      0.0
467050 2025010224   1017.5   1020.1     16.7     None     13.6       82     15.6      7.8     50.0      8.4     50.0     14.0     40.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     19.0     None      0.0
467050 2025010301   1017.6   1020.2     16.4     None     12.6       78     14.6      9.0     50.0      9.9     50.0     16.0     50.0     -9.8      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.6     None      0.0
467050 2025010302   1017.5   1020.1     16.6     None     11.8       73     13.8      9.7     50.0     10.6     50.0     15.5     30.0     -9.8      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     18.9     None      0.0
467050 2025010303   1017.3   1019.9     16.3     None     10.8       70     13.0      9.7     50.0     10.2     50.0     16.0     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     18.5     None      0.0
467050 2025010304   1017.4   1020.0     16.2     None     10.1       67     12.4     10.1     50.0     10.1     50.0     16.4     30.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.4     None      0.0
467050 2025010305   1017.6   1020.2     16.0     None     10.8       71     13.0      9.5     50.0     10.2     50.0     16.5     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     15.3     15.3     15.9     16.3     17.5     17.6     19.3     21.7     23.0     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     18.2     None      0.0
467050 2025010306   1018.2   1020.8     15.8     None     10.6       71     12.8      8.7     50.0     10.1     50.0     15.5     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.9     None      0.0
467050 2025010307   1018.8   1021.4     15.8     None     10.6       71     12.8      9.4     50.0      9.9     50.0     16.0     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.9     None      0.0
467050 2025010308   1019.4   1022.0     15.9     None     10.5       70     12.7      9.1     50.0      9.8     50.0     15.9     60.0      0.0      0.0      0.0     25.0     None      2.1     0.45     None        6        4        /        2        4      2.1     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.07        2     18.1     None     0.15
467050 2025010309   1019.8   1022.4     16.4     None     10.7       69     12.9      9.2     50.0     10.4     50.0     17.4     40.0      0.0      0.0      0.0     25.0     None     None      0.6     None     None        9        /        /        5      0.6      9.0     15.2     15.2     15.7     16.1     17.4     17.6     19.3     21.7     23.0     23.5     None        0     None     None     None     None     None     None     None     None     None     None     0.43        1     18.6     None     0.87
467050 2025010310   1019.8   1022.4     16.7     None      9.9       64     12.2     10.7     50.0     11.2     50.0     17.8     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.61        0     19.0     None     1.59
467050 2025010311   1019.6   1022.2     16.9     None      9.4       61     11.8      9.5     50.0     11.1     50.0     18.3     40.0      0.0      0.0      0.0     25.0     None      2.1     0.45     None        6        4        /        2        4      2.1     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.85        0     19.3     None     2.52
467050 2025010312   1019.1   1021.7     16.2     None     10.1       67     12.4      9.8     50.0     10.5     50.0     16.6     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.66        8     18.4     None     2.15
467050 2025010313   1018.5   1021.1     16.5     None      9.5       63     11.9      9.6     50.0     10.2     50.0     16.4     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.42        8     18.8     None     1.46
467050 2025010314   1018.4   1021.0     17.4     None      9.8       61     12.1     10.4     50.0     10.9     50.0     17.5     50.0      0.0      0.0      0.1     25.0     None     None      0.6     None     None        8        0        0        4      0.6      8.0     15.5     15.5     15.7     16.0     17.3     17.5     19.3     21.7     23.0     23.5     None        0     None     None     None     None     None     None     None     None     None     None     1.08        6     19.9     None      2.6
467050 2025010315   1018.3   1020.9     16.8     None     10.0       64     12.3      9.7     50.0     10.5     50.0     17.5     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.63        6     19.1     None     1.42
467050 2025010316   1018.6   1021.2     16.6     None     10.0       65     12.3     10.1     60.0     10.5     50.0     17.2     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.3        3     18.9     None     0.51
467050 2025010317   1019.1   1021.7     16.2     None      9.9       66     12.2      6.2     70.0     10.2     60.0     15.1     50.0      0.0      0.0      0.0     20.0     None     None      0.6     None     None       10        /        /        5      0.6     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.03        3     18.4     None     0.04
467050 2025010318   1019.1   1021.7     16.3     None      9.5       64     11.9      8.7     60.0      9.8     60.0     15.9     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     18.5     None      0.0
467050 2025010319   1019.3   1021.9     15.9     None      7.9       59     10.7      8.8     60.0     10.7     60.0     18.2     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     18.1     None      0.0
467050 2025010320   1019.4   1022.0     15.5     None      8.0       61     10.7      7.8     60.0      8.6     60.0     15.4     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.6     None      0.0
467050 2025010321   1019.5   1022.1     15.2     None      8.7       65     11.2      6.7     60.0      8.6     60.0     14.6     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     14.7     14.7     15.5     15.9     17.2     17.5     19.3     21.6     23.0     23.5     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.3     None      0.0
