* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025030111   1015.8   1018.3     21.1     None     16.9       77     19.3      2.3     30.0      2.9     20.0      4.1     30.0      0.0      0.0      1.0     12.0      7.0      3.0     None        3        5     None        9        3        0     None      8.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None        9     None     None     None     2.47        8     25.0     None     7.49
467050 2025030112   1014.7   1017.2     24.0     None     16.5       63     18.8      3.6     40.0      3.6     40.0      5.3     50.0      0.0      0.0      0.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.93        8     29.8     None     9.36
467050 2025030113   1013.5   1016.0     23.7     None     16.5       64     18.8      3.4     40.0      4.2     50.0      6.3     40.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.32        8     29.3     None     7.77
467050 2025030114   1012.3   1014.8     24.6     None     17.4       64     19.9      4.1     30.0      4.2     30.0      6.3     20.0      0.0      0.0      0.8     20.0      7.0      3.0      1.2        2        3        3        9        3        5     None      8.0     19.7     19.0     19.3     18.6     17.7     17.6     18.1     20.0     21.5     23.5     None        0     None     None     None     None     None     None     None     None     None     None     2.73        7     30.9     None      8.1
467050 2025030115   1011.6   1014.1     25.6     None     17.0       59     19.4      3.4     50.0      4.7     40.0      6.8     40.0      0.0      0.0      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.4        7     32.8     None     5.97
467050 2025030116   1011.2   1013.7     24.3     None     16.6       62     18.9      2.9     40.0      3.8     50.0      6.0     50.0      0.0      0.0      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.24        7     30.4     None     2.64
467050 2025030117   1011.3   1013.8     23.9     None     17.4       67     19.9      2.3     60.0      3.5     40.0      5.5     40.0      0.0      0.0      0.0     16.0     None     None      1.2     None     None        9        /        /        5      1.2      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.52        5     29.7     None     0.75
467050 2025030118   1011.3   1013.8     22.7     None     17.8       74     20.4      1.6     70.0      2.9     70.0      4.6     80.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.09        5     27.6     None     0.11
467050 2025030119   1011.3   1013.8     22.3     None     18.3       78     21.0      0.9     90.0      1.8     60.0      2.4    100.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     26.9     None      0.0
467050 2025030120   1011.4   1013.9     22.2     None     18.8       81     21.7      1.6    130.0      1.8    120.0      2.3    110.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     26.8     None      0.0
467050 2025030121   1011.7   1014.2     21.3     None     18.9       86     21.8      0.1      0.0      1.5    130.0      2.0    140.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     19.3     19.8     20.2     20.2     18.7     17.9     18.2     20.1     21.6     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     25.3     None      0.0
467050 2025030122   1011.9   1014.4     22.2     None     18.6       80     21.4      2.1    140.0      2.8    140.0      3.5    140.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     26.8     None      0.0
467050 2025030123   1011.7   1014.2     21.2     None     19.1       88     22.1      0.4    200.0      2.0    140.0      2.2    140.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     25.2     None      0.0
467050 2025030124   1011.6   1014.1     20.5     None     18.6       89     21.4      0.6    120.0      1.0    160.0      1.9    150.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     24.1     None      0.0
467050 2025030201   1011.4   1013.9     20.7     None     18.1       85     20.8      1.9    140.0      2.1    130.0      2.7    130.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     24.4     None      0.0
467050 2025030202   1011.6   1014.1     19.6     None     18.3       92     21.0      0.6    270.0      1.8    140.0      1.8    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     22.8     None      0.0
467050 2025030203   1011.2   1013.8     18.7     None     17.5       93     20.0      0.4    260.0      1.0    290.0      2.3    320.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     21.6     None      0.0
467050 2025030204   1011.1   1013.7     18.7     None     17.2       91     19.6      2.0    230.0      2.5    240.0      3.5    240.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     21.6     None      0.0
467050 2025030205   1011.4   1014.0     18.6     None     17.4       93     19.9      0.5    210.0      2.0    230.0      2.3    240.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     18.5     19.0     19.3     19.3     19.0     18.3     18.3     20.1     21.6     23.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     21.4     None      0.0
467050 2025030206   1011.6   1014.2     17.9     None     16.9       94     19.3      0.5     60.0      1.8    320.0      2.5    320.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     20.5     None      0.0
467050 2025030207   1012.2   1014.8     18.4     None     17.4       94     19.9      1.2    350.0      1.3     80.0      2.7    340.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.04        2     21.2     None     0.05
467050 2025030208   1013.4   1015.9     20.0     None     18.1       89     20.8      0.2      0.0      1.8    320.0      2.7    330.0      0.0      0.0      0.3     10.0      7.0      3.0      1.2        2        3        3        9        3        4     None      8.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None        1     None     None     None        9     None     None     None     0.53        3     23.4     None     0.71
467050 2025030209   1013.4   1015.9     22.8     None     17.9       74     20.5      1.2     70.0      1.2     70.0      2.7    110.0      0.0      0.0      0.5     12.0      7.0      3.0      1.2        1        3        5        9        7        4     None      9.0     19.3     18.9     19.0     18.9     18.8     18.3     18.3     20.1     21.5     23.6     None        0     None     None     None     None     None     None     None     None     None     None     1.21        0     27.8     None     2.26
467050 2025030210   1013.4   1015.9     24.4     None     18.4       69     21.2      0.9    330.0      2.3    330.0      4.2    320.0      0.0      0.0      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.41        0     30.6     None     5.18
467050 2025030211   1013.0   1015.5     24.8     None     19.6       73     22.8      2.5    310.0      2.5    300.0      3.5    320.0      0.0      0.0      0.4     16.0      7.0      4.5      1.2        1        5        3        9        7        4     None      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     2.21        8     31.3     None      6.6
467050 2025030212   1012.2   1014.7     25.5     None     19.2       68     22.2      2.5    290.0      2.9    310.0      4.0    320.0      0.0      0.0      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.53        8     32.6     None     8.32
467050 2025030213   1010.6   1013.1     25.5     None     19.2       68     22.2      2.3    280.0      2.7    260.0      3.9    270.0      0.0      0.0      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.41        8     32.6     None     8.17
467050 2025030214   1009.2   1011.7     25.4     None     19.3       69     22.4      2.5    280.0      3.1    270.0      4.5    270.0      0.0      0.0      0.2     20.0      7.0      3.6      1.2        1        4        4        9        8        4     None      9.0     21.4     20.8     21.0     20.3     18.8     18.3     18.3     19.9     21.4     23.5     None        0     None     None     None     None     None     None     None     None     None     None     1.73        8     32.4     None     6.11
467050 2025030215   1009.0   1011.5     24.1     None     19.4       75     22.5      2.9    290.0      4.3    280.0      6.0    270.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.38        6     30.0     None      4.5
467050 2025030216   1008.7   1011.2     23.5     None     19.7       79     22.9      3.2    260.0      3.3    260.0      5.6    260.0      0.0      0.0      0.2     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.96        6     29.0     None     2.43
467050 2025030217   1009.0   1011.5     23.5     None     20.1       81     23.5      3.6    240.0      3.6    240.0      5.5    230.0      0.0      0.0      0.2     20.0      7.0      4.5      1.2        3        2        1        9        3        1     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.55        5     29.0     None     0.82
467050 2025030218   1009.1   1011.6     22.7     None     19.9       84     23.2      2.4    240.0      3.6    240.0      4.9    240.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.1        3     27.6     None     0.13
467050 2025030219   1009.3   1011.8     22.1     None     19.8       87     23.1      1.9    230.0      2.6    240.0      3.5    240.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     26.6     None      0.0
467050 2025030220   1009.5   1012.0     21.7     None     20.0       90     23.4      1.7    210.0      1.9    230.0      2.5    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     26.0     None      0.0
467050 2025030221   1009.6   1012.1     21.7     None     20.0       90     23.4      2.1    220.0      2.2    220.0      3.0    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     20.6     20.9     21.1     21.2     19.7     18.7     18.5     20.1     21.6     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     26.0     None      0.0
467050 2025030222   1009.4   1011.9     21.6     None     20.1       91     23.5      1.7    200.0      2.4    220.0      3.2    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     25.8     None      0.0
467050 2025030223   1009.3   1011.8     21.1     None     19.9       93     23.2      1.0    200.0      1.8    200.0      2.8    180.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     25.0     None      0.0
467050 2025030224   1009.0   1011.5     21.9     None     19.8       88     23.1      2.8    190.0      2.8    190.0      3.9    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     26.3     None      0.0
467050 2025030301   1008.5   1011.0     22.3     None     20.0       87     23.4      2.6    220.0      2.8    190.0      4.2    200.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     26.9     None      0.0
467050 2025030302   1008.3   1010.8     21.9     None     20.2       90     23.7      1.8    210.0      2.8    220.0      4.0    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     26.3     None      0.0
467050 2025030303   1008.3   1010.8     22.3     None     20.4       89     24.0      1.3    210.0      2.3    200.0      3.4    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     26.9     None      0.0
467050 2025030304   1008.0   1010.5     22.1     None     20.6       91     24.3      0.2      0.0      1.3    210.0      1.6    320.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     26.6     None      0.0
467050 2025030305   1008.4   1010.9     20.4     None     19.9       97     23.2      2.8    320.0      2.8    320.0      4.1    320.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     20.2     20.3     20.4     20.3     19.8     19.0     18.5     20.1     21.6     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     24.0     None      0.0
467050 2025030306   1008.9   1011.4     20.2     None     20.0       99     23.4      1.4    200.0      2.9    320.0      4.1    330.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     23.7     None      0.0
467050 2025030307   1008.9   1011.4     20.8     None     20.6       99     24.3      2.2    190.0      2.4    170.0      3.3    170.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.03        0     24.6     None     0.04
467050 2025030308   1009.5   1012.0     21.1     None     20.6       97     24.3      1.3    260.0      2.2    200.0      2.6    290.0      0.0      0.0      0.0      3.0     None     None      0.9     None     None       10        /        /        6      0.9     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None        1     None     None     None        9     None     None     None     0.21        3     25.0     None     0.37
467050 2025030309   1010.2   1012.7     21.2     None     20.7       97     24.4      1.7    330.0      2.4    310.0      4.6    310.0      0.0      0.0      0.0      4.0     None     None      0.9     None     None       10        /        /        6      0.9     10.0     20.5     20.3     20.4     20.2     19.7     19.1     18.6     20.1     21.5     23.6     None        0     None     None     None     None     None     None        9     None     None     None     0.38        3     25.2     None     1.01
467050 2025030310   1010.3   1012.8     21.3     None     20.5       95     24.1      1.7    350.0      2.1    340.0      3.3    340.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.49        1     25.3     None     1.68
467050 2025030311   1010.2   1012.7     20.5     None     20.3       99     23.8      0.3    330.0      2.6    320.0      4.2    340.0      0.0      0.0      0.0      0.4     None     None     None     None     None     None        /        /        /     None    -99.7     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None        1     None     None     None      0.4        0     24.1     None     1.62
467050 2025030312   1009.0   1011.5     21.4     None     21.1       98     25.0      1.3    160.0      1.7    170.0      2.8    160.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     0.36        8     25.5     None      1.6
467050 2025030313   1008.3   1010.8     23.1     None     21.7       92     26.0      2.1    270.0      2.2    250.0      3.2    280.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.75        8     28.3     None     3.23
467050 2025030314   1007.8   1010.3     22.1     None     21.6       97     25.8      0.3    230.0      2.9    280.0      4.7    280.0      0.0      0.0      0.0      3.0     None     None      0.9     None     None       10        /        /        6      0.9     10.0     21.0     20.7     20.8     20.6     19.7     19.1     18.6     20.0     21.5     23.6     None        0     None     None     None     None     None     None        9     None     None     None     0.44        7     26.6     None     1.72
467050 2025030315   1007.3   1009.8     24.0     None     22.1       89     26.6      0.8    350.0      1.7    170.0      2.5    160.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.75        7     29.8     None     2.44
467050 2025030316   1007.5   1010.0     23.5     None     21.6       89     25.8      2.8    350.0      2.8    350.0      6.9     20.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.59        5     29.0     None     1.39
467050 2025030317   1007.7   1010.2     22.9     None     21.4       91     25.5      0.5    360.0      2.9    360.0      3.3     20.0      0.0      0.0      0.0      9.0     None     None      0.9     None     None       10        /        /        6      0.9     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None        9     None     None     None     0.14        5     27.9     None     0.29
467050 2025030318   1007.5   1010.0     22.2     None     21.2       94     25.2      1.8     60.0      2.4     50.0      3.2     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.08        0     26.8     None     0.09
467050 2025030319   1008.4   1010.9     22.3     None     21.1       93     25.0      1.2     70.0      1.8     60.0      2.0     80.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None      0.0        3     26.9     None      0.0
467050 2025030320   1009.6   1012.1     22.1     None     21.1       94     25.0      0.9     40.0      1.8     20.0      2.3     20.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None        9     None     None     None      0.0        3     26.6     None      0.0
467050 2025030321   1009.6   1012.1     22.0     None     21.5       97     25.6      1.7     70.0      2.2     50.0      3.2     50.0     -9.8      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     21.0     21.0     21.1     21.0     20.1     19.3     18.7     20.1     21.5     23.6     None     None     None        1     None     None     None     None        9     None     None     None      0.0        2     26.4     None      0.0
