* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025070111   1007.6   1010.0     32.2     None     25.3       67     32.2      2.4    320.0      3.1    320.0      5.3    340.0      0.0      0.0      1.0     16.0      7.0     None      1.2        2     None        4        1        0        2     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     3.41        0     48.1     None    10.49
467050 2025070112   1006.9   1009.3     32.4     None     26.2       70     34.0      3.8    320.0      3.8    320.0      5.7    310.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.61        8     48.6     None    11.87
467050 2025070113   1007.0   1009.4     32.6     None     25.9       68     33.4      3.6    310.0      4.8    320.0      6.9    330.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      3.6        5     49.2     None    11.56
467050 2025070114   1006.7   1009.1     32.1     None     26.4       72     34.4      4.3    330.0      4.5    330.0      6.9    340.0      0.0      0.0      1.0     16.0      7.0     None      1.2        3     None        1        1        0        1     None      4.0     31.7     31.8     31.4     30.8     29.1     28.6     27.3     25.3     23.1     22.7     None        0     None     None     None     None     None     None     None     None     None     None     3.32        6     47.8     None     9.83
467050 2025070115   1006.4   1008.8     32.2     None     26.8       73     35.2      3.7    340.0      4.6    340.0      7.4    310.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.92        8     48.1     None     7.47
467050 2025070116   1006.1   1008.5     31.7     None     26.3       73     34.2      4.4    330.0      4.7    330.0      7.1    320.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.31        7     46.8     None     4.64
467050 2025070117   1005.8   1008.2     31.5     None     26.3       74     34.2      3.8    320.0      4.3    330.0      6.6    330.0      0.0      0.0      1.0     16.0      7.0     None      1.2        5     None        1        2        0        4     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.44        8     46.2     None     2.06
467050 2025070118   1005.9   1008.3     31.0     None     26.5       77     34.6      2.3    300.0      3.9    320.0      5.3    300.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.66        5     44.9     None      0.6
467050 2025070119   1006.4   1008.8     30.3     None     26.9       82     35.4      1.8    250.0      2.4    310.0      3.6    300.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.1        3     43.2     None     0.07
467050 2025070120   1006.7   1009.1     29.8     None     26.8       84     35.2      1.0    210.0      2.3    230.0      3.1    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     42.0     None      0.0
467050 2025070121   1006.9   1009.4     29.4     None     26.8       86     35.2      1.1    190.0      1.6    170.0      2.1    170.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     30.2     30.8     31.5     31.8     30.2     29.0     27.4     25.5     23.3     22.9     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     41.0     None      0.0
467050 2025070122   1007.5   1010.0     29.4     None     26.6       85     34.8      0.6    210.0      1.7    190.0      2.0    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     41.0     None      0.0
467050 2025070123   1007.5   1010.0     29.0     None     26.6       87     34.8      0.4    170.0      1.0    100.0      1.5    100.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     40.1     None      0.0
467050 2025070124   1007.7   1010.2     28.8     None     26.8       89     35.2      1.1    190.0      1.5    160.0      1.8    150.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     39.6     None      0.0
467050 2025070201   1007.2   1009.7     29.1     None     26.7       87     35.0      1.4    190.0      1.6    160.0      1.9    170.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     40.3     None      0.0
467050 2025070202   1006.6   1009.1     29.0     None     26.6       87     34.8      0.8    150.0      1.5    190.0      1.8    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     40.1     None      0.0
467050 2025070203   1006.3   1008.8     28.7     None     26.3       87     34.2      0.6    150.0      1.4    150.0      2.0    160.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     39.4     None      0.0
467050 2025070204   1006.4   1008.9     28.1     None     26.1       89     33.8      0.6     90.0      1.4    140.0      2.0    140.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     38.0     None      0.0
467050 2025070205   1006.5   1009.0     28.2     None     25.4       85     32.4      0.8    100.0      1.4    100.0      2.5    100.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     28.8     29.5     30.2     30.3     30.1     29.3     27.5     25.6     23.3     22.9     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     38.2     None      0.0
467050 2025070206   1007.1   1009.6     28.7     None     24.7       79     31.1      1.9     80.0      2.0     70.0      3.1     80.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.14        3     39.4     None     0.07
467050 2025070207   1007.5   1009.9     30.2     None     23.7       68     29.3      2.3     80.0      2.6     60.0      3.8     70.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.79        1     42.9     None      0.7
467050 2025070208   1007.5   1009.9     31.9     None     23.5       61     29.0      2.3     70.0      2.9     90.0      4.5    100.0      0.0      0.0      1.0     30.0      7.0     None      0.9        2     None        2        1        0        2     None      4.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.54        1     47.3     None     2.41
467050 2025070209   1007.2   1009.6     33.8     None     23.5       55     29.0      2.2    100.0      2.9     60.0      4.5     60.0      0.0      0.0      1.0     30.0      7.0     None      0.9        1     None        2        1        0        2     None      3.0     29.6     29.2     29.8     29.7     29.7     29.1     27.4     25.4     23.1     22.7     None        0     None     None     None     None     None     None     None     None     None     None     2.31        0     52.6     None     5.26
467050 2025070210   1007.2   1009.6     33.0     None     24.5       61     30.7      3.4    280.0      3.4    280.0      5.4    270.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.95        8     50.3     None     8.42
467050 2025070211   1006.7   1009.1     33.8     None     25.5       62     32.6      4.3    240.0      4.8    240.0      6.9    240.0      0.0      0.0      1.0     20.0      7.0     None      1.2        2     None        2        1        0        4     None      4.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     3.42        8     52.6     None    11.06
467050 2025070212   1006.2   1008.6     33.7     None     25.7       63     33.0      4.1    240.0      5.4    240.0      7.1    240.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.73        8     52.3     None     12.6
467050 2025070213   1005.4   1007.8     34.5     None     25.1       58     31.9      2.9    230.0      4.2    240.0      5.9    220.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.65        8     54.7     None    12.48
467050 2025070214   1004.8   1007.2     35.1     None     24.4       54     30.6      2.2    240.0      3.7    290.0      5.3    250.0      0.0      0.0      1.0     20.0      7.0     None      0.9        1     None        3        1        0        1     None      4.0     33.5     32.6     32.0     31.4     29.5     28.9     27.3     25.3     23.0     22.6     None        0     None     None     None     None     None     None     None     None     None     None     3.36        8     56.6     None    10.75
467050 2025070215   1004.4   1006.8     34.5     None     27.5       67     36.7      7.2     40.0      7.2     30.0     11.7     50.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.98        8     54.7     None     8.12
467050 2025070216   1004.0   1006.4     34.3     None     26.3       63     34.2      7.0     50.0      7.7     40.0     12.1     50.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      2.3        8     54.1     None     4.95
467050 2025070217   1003.9   1006.3     34.5     None     23.6       53     29.1      6.2     80.0      8.2     50.0     12.5     40.0      0.0      0.0      1.0     20.0      7.0     None      0.9        1     None        1        1        0        4     None      2.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.53        8     54.7     None     2.25
467050 2025070218   1004.5   1006.9     32.7     None     24.5       62     30.7      6.2     60.0      7.4     60.0     12.4     80.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.7        3     49.5     None     0.62
467050 2025070219   1004.8   1007.2     31.2     None     23.3       63     28.6      5.9     70.0      7.2     70.0     12.0     70.0      0.0      0.0      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.12        3     45.5     None     0.09
467050 2025070220   1005.0   1007.4     30.6     None     22.2       61     26.8      6.2     70.0      6.8     70.0     12.4     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     43.9     None      0.0
467050 2025070221   1005.2   1007.6     30.0     None     23.5       68     29.0      6.2     80.0      6.5     70.0     12.3     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     29.9     30.9     32.0     32.4     30.8     29.4     27.6     25.6     23.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     42.4     None      0.0
467050 2025070222   1005.6   1008.0     29.5     None     23.2       69     28.4      6.6     60.0      6.6     60.0     10.6     90.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     41.2     None      0.0
467050 2025070223   1005.3   1007.7     29.4     None     23.1       69     28.3      5.8     80.0      6.9     60.0     10.7     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     41.0     None      0.0
467050 2025070224   1005.5   1008.0     28.8     None     23.5       73     29.0      4.1     80.0      5.9     80.0      9.7     90.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     39.6     None      0.0
467050 2025070301   1005.5   1008.0     28.6     None     24.2       77     30.2      3.3     80.0      4.4     80.0      7.8    100.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     39.1     None      0.0
467050 2025070302   1005.3   1007.8     28.3     None     23.7       76     29.3      2.9     80.0      3.2     80.0      5.3    100.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     38.5     None      0.0
467050 2025070303   1005.1   1007.6     28.2     None     23.6       76     29.1      3.1     80.0      3.1     80.0      4.9     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     38.2     None      0.0
467050 2025070304   1005.3   1007.8     27.9     None     23.9       79     29.7      2.6     80.0      3.3     90.0      5.7     80.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     37.6     None      0.0
467050 2025070305   1005.5   1008.0     27.7     None     24.2       81     30.2      1.9     80.0      2.5     80.0      3.5     80.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     28.7     29.4     30.2     30.4     30.5     29.6     27.7     25.7     23.4     23.0     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     37.1     None      0.0
467050 2025070306   1005.7   1008.2     27.8     None     24.5       82     30.7      1.9     60.0      2.3     60.0      3.2     60.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.13        2     37.4     None     0.07
467050 2025070307   1006.0   1008.4     29.6     None     24.0       72     29.8      2.9     80.0      3.2     80.0      5.7     80.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.69        2     41.5     None     0.61
467050 2025070308   1006.1   1008.5     31.0     None     23.9       66     29.7      1.8    140.0      2.9     80.0      4.9    120.0      0.0      0.0      1.0     20.0      7.0     None     None        4     None     None        1        0        0     None      4.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.43        1     44.9     None     2.07
467050 2025070309   1005.6   1008.0     32.1     None     23.9       62     29.7      1.2    240.0      1.7    150.0      2.7    230.0      0.0      0.0      1.0     20.0      7.0     None      0.9        3     None        1        1        0        1     None      4.0     29.9     29.3     29.9     29.8     29.9     29.4     27.6     25.5     23.2     22.7     None        0     None     None     None     None     None     None     None     None     None     None     2.24        8     47.8     None     4.58
467050 2025070310   1005.4   1007.8     32.3     None     24.4       63     30.6      2.6    320.0      3.0    320.0      4.2    340.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.89        8     48.4     None     7.27
467050 2025070311   1005.1   1007.5     33.4     None     25.9       65     33.4      4.8     40.0      5.1     50.0      7.3     40.0      0.0      0.0      0.7     16.0      7.0     None      0.6        1     None        1        1        0        1     None      2.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     2.77        6     51.5     None     8.58
467050 2025070312   1004.4   1006.8     33.9     None     25.9       63     33.4      6.3     40.0      6.8     40.0     10.3     40.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.64        8     52.9     None    11.46
467050 2025070313   1003.5   1005.9     34.2     None     25.3       60     32.2      7.3     40.0      7.3     40.0     11.3     20.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.68        8     53.8     None    11.76
467050 2025070314   1002.8   1005.2     35.2     None     24.8       55     31.3      6.8     40.0      7.5     40.0     11.8     40.0      0.0      0.0      1.0     16.0      7.0     None      0.9        1     None        1        1        0        4     None      2.0     32.4     32.4     32.3     31.7     29.8     29.2     27.5     25.4     23.1     22.7     None        0     None     None     None     None     None     None     None     None     None     None     3.43        7     56.9     None    10.26
467050 2025070315   1002.9   1005.3     35.6     None     22.6       47     27.4      5.6     70.0      6.6     40.0     10.9     90.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.92        5     58.1     None     7.52
467050 2025070316   1002.6   1005.0     34.6     None     21.7       47     26.0      6.7     70.0      7.0     60.0     11.4     50.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.27        6     55.0     None     4.55
467050 2025070317   1002.5   1004.9     33.9     None     22.4       51     27.1      4.4     60.0      7.0     60.0     11.0     60.0      0.0      0.0      1.0     20.0      7.0     None      0.9        1     None        1        1        0        4     None      2.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.49        8     52.9     None     2.06
467050 2025070318   1002.6   1005.0     32.7     None     21.9       53     26.3      5.2     80.0      6.0     80.0     10.5     70.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.71        5     49.5     None     0.61
467050 2025070319   1002.7   1005.1     30.9     None     22.3       60     26.9      6.1     70.0      6.5     60.0     11.5     60.0      0.0      0.0      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.12        3     44.7     None     0.07
467050 2025070320   1003.2   1005.6     30.2     None     22.4       63     27.1      4.6     70.0      6.2     70.0     10.0     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     42.9     None      0.0
467050 2025070321   1003.3   1005.7     29.8     None     22.8       66     27.8      5.1     70.0      5.4     70.0      9.4     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     30.0     31.1     32.2     32.6     31.0     29.7     27.8     25.7     23.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     42.0     None      0.0
