* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025050111   1010.6   1013.1     25.3     None     21.4       79     25.5      7.2    250.0      7.6    250.0     11.5    260.0      0.0      0.0      0.0     16.0     None      3.0      0.9     None        7        3        /        7        5      3.0     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.12        1     32.2     None     3.89
467050 2025050112   1010.7   1013.2     25.9     None     22.2       80     26.8      6.8    260.0      7.2    250.0     11.3    240.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.62        1     33.4     None     5.64
467050 2025050113   1010.7   1013.2     25.1     None     21.6       81     25.8      6.3    260.0      6.9    250.0     10.3    260.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.99        0     31.9     None     3.59
467050 2025050114   1009.9   1012.4     25.3     None     21.8       81     26.1      6.8    240.0      7.4    260.0     11.2    260.0      0.0      0.0      0.0     16.0     None      3.0      0.9     None        3        7        /        7        5      0.9     10.0     23.3     23.2     23.3     23.1     22.7     22.1     21.8     21.6     21.2     22.6     None        0     None     None     None     None     None     None     None     None     None     None      1.1        8     32.2     None     3.81
467050 2025050115   1009.0   1011.5     26.1     None     21.8       77     26.1      6.8    230.0      7.0    230.0     10.4    230.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.07        8     33.8     None     5.22
467050 2025050116   1007.9   1010.4     26.5     None     20.6       70     24.3      5.3    230.0      6.8    230.0      9.3    220.0      0.0      0.0      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.45        8     34.6     None     3.05
467050 2025050117   1008.0   1010.5     25.9     None     20.7       73     24.4      4.6    260.0      5.4    230.0      8.5    250.0      0.0      0.0      0.4     20.0      7.0      3.0     None        5        3     None        2        7        0     None      8.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None      0.9        5     33.4     None     1.34
467050 2025050118   1008.4   1010.9     25.4     None     20.4       74     24.0      4.8    260.0      5.0    250.0      7.2    260.0      0.0      0.0      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.46        5     32.4     None     0.35
467050 2025050119   1008.7   1011.2     25.5     None     19.9       71     23.2      4.2    260.0      4.9    260.0      7.5    260.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.02        3     32.6     None     0.01
467050 2025050120   1009.7   1012.2     25.1     None     19.9       73     23.2      4.0    260.0      4.9    260.0      7.5    270.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     31.9     None      0.0
467050 2025050121   1010.6   1013.1     23.5     None     20.3       82     23.8      1.8    210.0      4.0    260.0      5.5    260.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     22.8     23.3     23.6     23.5     22.9     22.3     21.8     21.7     21.3     22.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     29.0     None      0.0
467050 2025050122   1011.0   1013.5     23.3     None     20.1       82     23.5      2.5    180.0      2.5    180.0      3.1    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     28.6     None      0.0
467050 2025050123   1011.0   1013.5     22.6     None     20.3       87     23.8      1.7    140.0      2.6    180.0      3.2    180.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     27.4     None      0.0
467050 2025050124   1010.6   1013.1     21.8     None     20.1       90     23.5      0.7    110.0      2.3    140.0      3.1    150.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     26.1     None      0.0
467050 2025050201   1009.8   1012.3     21.3     None     19.6       90     22.8      0.8    120.0      1.7    150.0      2.4    160.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     25.3     None      0.0
467050 2025050202   1009.5   1012.0     21.2     None     19.5       90     22.7      1.5     80.0      1.9     40.0      2.3     40.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     25.2     None      0.0
467050 2025050203   1009.4   1011.9     20.7     None     19.2       91     22.2      1.8     90.0      2.1    120.0      2.6    130.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     24.4     None      0.0
467050 2025050204   1009.9   1012.4     20.8     None     19.1       90     22.1      2.4     80.0      2.4     90.0      3.8     90.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     24.6     None      0.0
467050 2025050205   1010.0   1012.5     20.6     None     18.9       90     21.8      2.2     70.0      2.6     70.0      4.0     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     21.6     22.2     22.7     22.7     22.9     22.4     21.9     21.8     21.3     22.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     24.3     None      0.0
467050 2025050206   1009.9   1012.4     21.0     None     19.1       89     22.1      2.5     70.0      2.7     60.0      3.7     50.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.08        0     24.9     None     0.05
467050 2025050207   1010.0   1012.5     23.6     None     20.4       82     24.0      4.4     50.0      4.4     50.0      6.5     70.0      0.0      0.0      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.58        0     29.1     None     0.57
467050 2025050208   1010.1   1012.6     25.8     None     21.0       75     24.9      5.1     60.0      5.5     50.0      9.5     70.0      0.0      0.0      1.0     16.0      7.0     None     None        2     None     None        1        0        0     None      2.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None        1     None     None     None     None     None     None     None     1.45        3     33.2     None     2.03
467050 2025050209   1010.0   1012.5     27.6     None     21.2       68     25.2      4.4     70.0      6.9     70.0     11.4     70.0      0.0      0.0      1.0     16.0      7.0     None     None        2     None     None        1        0        0     None      2.0     22.6     22.3     22.5     22.4     22.6     22.3     21.8     21.6     21.2     22.6     None        0     None     None     None     None     None     None     None     None     None     None     2.29        0     36.9     None     4.54
467050 2025050210   1009.8   1012.3     28.6     None     20.9       63     24.7      5.2     70.0      6.2     70.0     10.3     80.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.01        8     39.1     None     7.51
467050 2025050211   1009.2   1011.7     29.7     None     20.6       58     24.3      5.5     80.0      6.7     90.0     10.9     80.0      0.0      0.0      1.0     20.0      7.0     None     None        1     None     None        1        0        0     None      1.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None      3.5        8     41.7     None    10.02
467050 2025050212   1008.4   1010.8     30.7     None     20.1       53     23.5      4.4     80.0      5.7     70.0      9.5     70.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.74        8     44.2     None    11.36
467050 2025050213   1007.5   1009.9     30.9     None     21.1       56     25.0      4.1     90.0      5.6     70.0      8.7     70.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.69        8     44.7     None    11.19
467050 2025050214   1006.8   1009.2     30.5     None     21.0       57     24.9      5.1     80.0      5.8     70.0      8.7     60.0      0.0      0.0      1.0     20.0      7.0     None      0.9        1     None        1        1        0        1     None      2.0     25.4     24.9     24.6     23.9     22.5     22.2     21.7     21.5     21.1     22.4     None        0     None     None     None     None     None     None     None     None     None     None     3.39        7     43.7     None     9.44
467050 2025050215   1006.4   1008.8     30.6     None     20.6       55     24.3      3.5     80.0      5.1     80.0      8.9     70.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.82        7     43.9     None     6.65
467050 2025050216   1006.3   1008.7     30.1     None     18.9       51     21.8      3.4     70.0      4.6     60.0      7.2     80.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.08        6     42.7     None     3.72
467050 2025050217   1006.4   1008.9     29.5     None     17.4       48     19.9      3.0     90.0      3.6     80.0      6.0     80.0      0.0      0.0      1.0     20.0      7.0     None     None        1     None     None        1        0        0     None      1.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.22        5     41.2     None     1.46
467050 2025050218   1006.9   1009.4     27.8     None     22.5       73     27.3      3.0    220.0      3.7    100.0      6.1    100.0      0.0      0.0      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.43        3     37.4     None     0.33
467050 2025050219   1007.4   1009.9     26.5     None     21.3       73     25.3      1.8    190.0      3.9    230.0      5.6    230.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.02        3     34.6     None     0.02
467050 2025050220   1007.7   1010.2     25.4     None     21.9       81     26.3      2.3    220.0      2.4    210.0      3.4    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     32.4     None      0.0
467050 2025050221   1008.1   1010.6     24.9     None     22.8       88     27.8      2.3    200.0      2.4    210.0      3.6    200.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     24.0     24.6     25.0     25.1     23.6     22.5     21.9     21.7     21.3     22.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     31.5     None      0.0
467050 2025050222   1008.4   1010.9     24.6     None     22.7       89     27.6      2.6    210.0      3.8    210.0      5.7    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     30.9     None      0.0
467050 2025050223   1008.2   1010.7     24.2     None     22.6       91     27.4      3.0    210.0      3.3    220.0      5.1    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     30.2     None      0.0
467050 2025050224   1007.7   1010.2     24.0     None     22.8       93     27.8      2.9    210.0      3.3    210.0      5.1    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     29.8     None      0.0
467050 2025050301   1007.4   1009.9     23.8     None     23.0       95     28.1      2.6    220.0      3.4    210.0      4.9    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     29.5     None      0.0
467050 2025050302   1007.5   1010.0     24.3     None     22.9       92     27.9      4.3    240.0      4.3    240.0      7.9    230.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     30.4     None      0.0
467050 2025050303   1007.8   1010.3     23.9     None     22.5       92     27.3      4.8    250.0      5.3    250.0      8.1    240.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     29.7     None      0.0
467050 2025050304   1008.1   1010.6     23.6     None     22.2       92     26.8      4.1    260.0      5.4    260.0      7.6    260.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     29.1     None      0.0
467050 2025050305   1008.6   1011.1     23.5     None     22.1       92     26.6      3.7    250.0      4.1    260.0      6.1    250.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     23.4     23.8     24.2     24.1     23.7     22.7     22.0     21.7     21.3     22.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     29.0     None      0.0
467050 2025050306   1009.2   1011.7     23.6     None     22.0       91     26.4      3.6    280.0      3.9    280.0      5.8    260.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.03        2     29.1     None     0.03
467050 2025050307   1009.8   1012.3     23.8     None     21.9       89     26.3      3.1    280.0      3.7    280.0      5.2    300.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.33        2     29.5     None     0.46
467050 2025050308   1010.3   1012.8     24.9     None     22.2       85     26.8      2.2    260.0      3.3    270.0      4.4    280.0      0.0      0.0      0.2      8.0     None      3.0     None     None        9     None        /        7        0      3.0      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None        9     None     None     None     0.96        1     31.5     None     1.69
467050 2025050309   1010.5   1013.0     25.3     None     22.2       83     26.8      1.9    240.0      2.3    240.0      3.5    240.0      0.0      0.0      0.0     12.0     None      3.0      1.2     None        6        3        /        7        5      3.0      9.0     23.9     23.8     24.0     23.8     23.5     22.7     21.9     21.7     21.2     22.5     None        0     None     None     None     None     None     None        9     None     None     None     1.18        1     32.2     None     2.91
467050 2025050310   1010.2   1012.7     26.1     None     22.8       82     27.8      1.2    240.0      1.9    240.0      2.8    260.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.33        0     33.8     None     3.91
467050 2025050311   1009.7   1012.2     27.9     None     20.5       64     24.1      2.8    230.0      3.0    230.0      4.4    230.0      0.0      0.0      0.1     16.0     None      3.0      0.9     None        6        3        /        7        5      3.0      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.79        8     37.6     None     5.93
467050 2025050312   1009.2   1011.7     27.4     None     20.8       67     24.6      2.6    240.0      3.0    240.0      4.8    230.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.37        8     36.5     None     5.15
467050 2025050313   1008.4   1010.9     27.5     None     20.1       64     23.5      2.3    280.0      3.0    270.0      4.5    260.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.29        8     36.7     None     4.86
467050 2025050314   1007.4   1009.9     27.7     None     20.0       63     23.4      1.2    240.0      2.5    260.0      3.8    260.0      0.0      0.0      0.1     16.0     None      3.0     None     None        9     None        /        7        0      3.0      9.0     24.8     24.5     24.6     24.3     23.4     22.7     21.9     21.6     21.1     22.5     None        0     None     None     None     None     None     None     None     None     None     None     1.86        8     37.1     None     6.23
467050 2025050315   1006.6   1009.1     28.7     None     19.9       59     23.2      0.9    210.0      1.4    250.0      2.1    220.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.89        8     39.4     None     5.05
467050 2025050316   1006.2   1008.7     28.6     None     20.1       60     23.5      2.6    270.0      2.7    280.0      3.8    280.0      0.0      0.0      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      1.4        8     39.1     None     3.07
467050 2025050317   1006.2   1008.7     27.5     None     20.6       66     24.3      2.0    270.0      2.9    270.0      4.1    260.0      0.0      0.0      0.5     20.0      7.0      3.0      1.2        3        1        2        9        3        5     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.89        7     36.7     None     1.37
467050 2025050318   1006.6   1009.1     26.8     None     21.6       73     25.8      1.1    280.0      2.1    270.0      3.0    250.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.16        4     35.2     None     0.21
467050 2025050319   1007.1   1009.6     26.3     None     22.6       80     27.4      1.0    220.0      1.6    280.0      2.1    280.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     34.2     None     0.01
467050 2025050320   1007.7   1010.2     25.8     None     22.1       80     26.6      0.2      0.0      1.2     40.0      2.0     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     33.2     None      0.0
467050 2025050321   1008.0   1010.5     25.6     None     22.5       83     27.3      0.8     60.0      1.4     50.0      1.7     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     24.5     24.6     24.9     24.8     23.8     22.9     22.0     21.7     21.3     22.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     32.8     None      0.0
