* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C460 2025020123    960.9     13.9       94      0.2      0.0      4.3     38.0      0.5     None     None     None     None     None     None     None     None     1800     None
C0C460 2025020124    961.7     13.4       93      0.4     20.0      5.3    347.0      1.0     None     None     None     None     None     None     None     None     4100     None
C0C460 2025020201    961.3     13.3       94      0.6    121.0      2.6     47.0      2.0     None     None     None     None     None     None     None     None     0100     None
C0C460 2025020202    961.3     13.2       95      0.0      0.0      1.6    290.0      1.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020203    960.7     13.2       96      0.3    125.0      1.7    266.0      0.5     None     None     None     None     None     None     None     None     5300     None
C0C460 2025020204    960.4     13.3       96      0.2      0.0      1.2    123.0      2.0     None     None     None     None     None     None     None     None     4100     None
C0C460 2025020205    960.1     13.3       96      0.0      0.0      1.2     36.0      0.5     None     None     None     None     None     None     None     None     2600     None
C0C460 2025020206    960.8     13.2       96      0.0      0.0      1.7    338.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C460 2025020207    961.7     13.4       95      0.0      0.0      1.4    346.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C460 2025020208    962.2     13.5       95      0.3    356.0      2.3     23.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C460 2025020209    962.2     14.0       94      0.0      0.0      1.8    332.0      0.0     None     None     None     None     None     None     None     None     5100     None
C0C460 2025020210    962.3     14.7       93      0.3      5.0      2.4     33.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020211    961.7     14.6       93      0.0      0.0      1.7     60.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C460 2025020212    960.7     15.2       88      0.4      5.0      2.8    356.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C460 2025020213    959.8     15.3       87      0.3    357.0      2.6     13.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020214    959.2     15.3       89      0.5     24.0      2.1    355.0      0.5     None     None     None     None     None     None     None     None     4100     None
C0C460 2025020215    959.2     14.9       89      0.2      0.0      3.0     49.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C460 2025020216    959.7     14.5       90      0.2      0.0      2.6     41.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025020217    960.5     14.2       90      0.3     55.0      2.9    344.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020218    961.1     13.9       91      0.4    342.0      2.6     43.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C460 2025020219    961.7     13.7       93      0.0      0.0      1.2    352.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C460 2025020220    962.0     13.4       94      0.0      0.0      0.7     30.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C460 2025020221    961.9     13.4       94      0.3     57.0      2.5     51.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C460 2025020222    962.1     13.4       93      0.2      0.0      2.2      2.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C460 2025020223    962.6     13.5       93      0.0      0.0      1.7    224.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020224    962.2     13.3       94      0.0      0.0      0.3    223.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C460 2025020301    962.5     13.4       92      0.2      0.0      2.7    340.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C460 2025020302    962.6     13.3       91      0.7    359.0      2.5    357.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C460 2025020303    962.2     13.1       94      0.0      0.0      2.3     17.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C460 2025020304    962.4     12.8       94      0.2      0.0      3.5     50.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C460 2025020305    962.5     12.8       92      0.0      0.0      2.6    360.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C460 2025020306    963.3     12.6       93      0.3    358.0      2.7     48.0      0.5     None     None     None     None     None     None     None     None     3300     None
C0C460 2025020307    964.0     12.0       94      0.3     55.0      3.0     40.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C460 2025020308    965.1     11.4       94      0.0      0.0      3.9    116.0      1.0     None     None     None     None     None     None     None     None     1200     None
C0C460 2025020309    966.3     11.3       93      0.0      0.0      3.0    353.0      0.5     None     None     None     None     None     None     None     None     5600     None
C0C460 2025020310    966.3     10.9       94      0.2      0.0      3.5     19.0      1.0     None     None     None     None     None     None     None     None     5400     None
C0C460 2025020311    966.0     10.1       95      0.4    356.0      6.2    345.0      0.5     None     None     None     None     None     None     None     None     5300     None
C0C460 2025020312    965.4     10.2       95      0.3    359.0      3.8      4.0      1.0     None     None     None     None     None     None     None     None     3400     None
C0C460 2025020313    964.7     10.0       95      0.3    355.0      3.3      9.0      0.5     None     None     None     None     None     None     None     None     2000     None
C0C460 2025020314    964.8      9.8       95      0.6    347.0      2.7      5.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C460 2025020315    965.5      9.3       94      0.2      0.0      4.9      7.0      2.5     None     None     None     None     None     None     None     None     5300     None
C0C460 2025020316    966.0      8.7       94      0.2      0.0      3.6      2.0      1.5     None     None     None     None     None     None     None     None     5500     None
C0C460 2025020317    967.0      8.4       94      0.0      0.0      4.0     42.0      1.5     None     None     None     None     None     None     None     None     2700     None
C0C460 2025020318    967.5      8.1       95      0.3     50.0      2.9     40.0      1.5     None     None     None     None     None     None     None     None     1600     None
C0C460 2025020319    967.9      8.2       95      0.0      0.0      2.0     56.0      1.0     None     None     None     None     None     None     None     None     1800     None
C0C460 2025020320    968.2      8.3       95      0.0      0.0      1.1     51.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C460 2025020321    968.4      8.3       94      0.0      0.0      1.4     48.0      1.5     None     None     None     None     None     None     None     None     1100     None
C0C460 2025020322    968.7      8.4       95      0.0      0.0      1.3     87.0      0.5     None     None     None     None     None     None     None     None     2400     None
C0C460 2025020323    968.5      8.6       95      0.0      0.0      0.5     75.0      0.5     None     None     None     None     None     None     None     None     5100     None
C0C460 2025020324    969.0      8.5       95      0.0      0.0      2.7     56.0      0.5     None     None     None     None     None     None     None     None     1500     None
C0C460 2025020401    969.3      8.3       95      0.3     45.0      2.3     40.0      1.0     None     None     None     None     None     None     None     None     4700     None
C0C460 2025020402    969.7      7.6       94      0.0      0.0      2.8     87.0      2.0     None     None     None     None     None     None     None     None     2700     None
C0C460 2025020403    969.6      7.0       95      0.3     70.0      4.2     37.0      1.5     None     None     None     None     None     None     None     None     4900     None
C0C460 2025020404    969.3      6.7       94      0.0      0.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020405    969.1      6.9       91      0.0      0.0      0.9    157.0      0.5     None     None     None     None     None     None     None     None     5000     None
C0C460 2025020406    969.0      7.2       88      1.3    115.0      3.8    116.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C460 2025020407    969.0      7.5       83      1.5    113.0      4.3    115.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C460 2025020408    969.5      7.8       81      1.2    113.0      3.9    113.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C460 2025020409    969.3      8.3       77      0.7    113.0      3.5     58.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C460 2025020410    968.4     10.5       72      0.6    104.0      4.7    121.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C460 2025020411    967.7     12.6       61      0.8    117.0      3.6     51.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C460 2025020412    966.9     13.3       64      1.3     40.0      4.8     44.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C460 2025020413    965.7     13.5       61      0.9     59.0      5.3     12.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C460 2025020414    964.8     13.4       58      0.7     74.0      7.1     61.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C460 2025020415    964.9     13.0       59      1.1     53.0      5.8     30.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C460 2025020416    966.5     10.3       63      0.8     59.0      7.5     46.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C460 2025020417    967.1      8.9       71      0.4     81.0      5.4     40.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C460 2025020418    967.0      8.3       74      0.4    115.0      3.5    100.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C460 2025020419    966.8      7.7       73      0.3    109.0      2.7    117.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C460 2025020420    967.1      8.0       71      0.4    113.0      2.9     47.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C460 2025020421    967.1      8.1       75      0.0      0.0      2.0    115.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C460 2025020422    966.8      8.2       73      0.0      0.0      1.5     22.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C460 2025020423    966.4      9.1       70      0.8    116.0      2.2    114.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C460 2025020424    966.1      9.4       63      0.7    116.0      2.2    114.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C460 2025020501    966.2      9.7       60      0.6    114.0      1.9    116.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C460 2025020502    965.8      9.9       54      0.5    118.0      2.3    117.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C460 2025020503    965.6     10.1       48      0.8    116.0      2.8    114.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025020504    965.4     10.1       45      1.3    114.0      3.5    111.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C460 2025020505    965.6     10.3       45      1.4    115.0      3.3    116.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C460 2025020506    965.5     10.0       51      0.8    116.0      2.9    113.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025020507    965.9     10.3       53      1.2    115.0      3.2    115.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C460 2025020508    965.6     10.9       53      1.4    113.0      3.0    123.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C460 2025020509    965.7     12.7       50      1.4    114.0      3.6    113.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020510    965.7     13.8       51      1.1    114.0      3.1    113.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C460 2025020511    964.8     13.7       50      1.1    114.0      3.6    118.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C460 2025020512    963.9     15.5       48      0.7    112.0      3.3    116.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C460 2025020513    963.1     15.8       50      0.6    116.0      1.6    117.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C460 2025020514    962.7     14.9       58      0.0      0.0      1.1    117.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025020515    962.7     14.2       59      0.0      0.0      0.9    260.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C460 2025020516    962.8     13.5       60      1.1    115.0      2.2    112.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C460 2025020517    963.3     12.9       63      0.6    113.0      2.7    117.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C460 2025020518    963.5     12.6       64      1.4    114.0      2.9    118.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C460 2025020519    963.7     12.4       65      1.2    112.0      2.9    114.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020520    964.4     12.4       65      1.6    112.0      3.8    112.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C460 2025020521    965.2     12.2       65      1.7    115.0      3.0    118.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C460 2025020522    965.5     12.1       66      1.8    113.0      3.2    120.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C460 2025020523    965.4     12.2       66      1.4    113.0      3.1    115.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C460 2025020524    965.1     12.4       65      1.5    114.0      3.0    112.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C460 2025020601    964.9     12.5       65      1.4    112.0      3.1    114.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C460 2025020602    964.3     12.7       66      1.0    112.0      3.1    114.0      0.0     None     None     None     None     None     None     None     None     1500     None
C0C460 2025020603    963.9     12.9       66      1.0    114.0      3.3    114.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C460 2025020604    964.1     13.1       64      1.4    116.0      3.3    113.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C460 2025020605    964.2     12.9       65      1.5    114.0      4.1    118.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C460 2025020606    964.6     12.9       66      1.5    114.0      3.1    116.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025020607    964.8     13.0       66      1.6    115.0      3.9    114.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C460 2025020608    965.5     13.0       66      0.4    120.0      3.0    114.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020609    965.7     13.4       66      1.5    115.0      3.2    118.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C460 2025020610    965.6     13.5       77      0.0      0.0      1.6    114.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025020611    964.8     14.5       77      0.5    264.0      1.8    268.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C460 2025020612    963.4     16.4       67      0.4    265.0      1.9    285.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C460 2025020613    962.6     16.5       73      0.8    271.0      2.8    280.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C460 2025020614    962.3     15.2       81      0.6    279.0      2.7    290.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C460 2025020615    962.1     16.2       79      0.6    264.0      1.8    289.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025020616    962.6     15.5       82      0.5    275.0      1.9    265.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C460 2025020617    963.1     14.7       86      0.5    276.0      1.1    305.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C460 2025020618    963.9     14.0       90      0.0      0.0      0.9    290.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C460 2025020619    964.4     13.6       91      0.0      0.0      0.7    262.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C460 2025020620    964.8     13.3       92      0.0      0.0      0.7    285.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C460 2025020621    964.7     13.0       94      0.0      0.0      0.6    264.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C460 2025020622    964.4     12.8       92      0.0      0.0      0.8     40.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C460 2025020623    965.1     12.6       94      0.3    262.0      1.9    277.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C460 2025020624    964.9     12.6       94      0.0      0.0      1.3    291.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C460 2025020701    965.5     12.5       95      0.0      0.0      0.7    282.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C460 2025020702    965.7     12.4       95      0.0      0.0      0.5    238.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C460 2025020703    965.7     12.4       96      0.2      0.0      0.9    277.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C460 2025020704    965.1     12.4       96      0.0      0.0      0.7      2.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C460 2025020705    965.6     12.5       96      0.0      0.0      1.2     33.0      0.5     None     None     None     None     None     None     None     None     2700     None
C0C460 2025020706    966.1     12.0       95      0.0      0.0      1.5    349.0      1.0     None     None     None     None     None     None     None     None     5200     None
C0C460 2025020707    966.5     11.8       95      0.0      0.0      1.7    150.0      0.5     None     None     None     None     None     None     None     None     1700     None
C0C460 2025020708    966.8     11.6       94      0.0      0.0      3.7     47.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020709    967.6     11.4       91      0.4    104.0      4.9     52.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C460 2025020710    968.0     11.3       91      0.6     82.0      5.1     36.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C460 2025020711    967.5     11.6       87      0.7     74.0      4.6     50.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C460 2025020712    966.6     13.0       82      0.7     93.0      4.9     28.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C460 2025020713    966.5     12.3       85      0.7     88.0      5.3     41.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C460 2025020714    966.1     11.1       88      0.8     69.0      6.7     18.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C460 2025020715    966.4      9.6       91      0.8     79.0      6.4     61.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C460 2025020716    967.5      8.6       92      0.5     83.0      6.1     98.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C460 2025020717    968.7      8.1       89      0.7    117.0      6.1     39.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C460 2025020718    969.3      8.2       85      0.7    112.0      5.9     34.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C460 2025020719    970.1      8.3       84      0.9    105.0      4.0      1.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C460 2025020720    970.6      8.3       83      1.0    110.0      3.4    115.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C460 2025020721    970.9      8.4       84      0.8    104.0      4.0    117.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C460 2025020722    970.7      8.8       79      1.1    111.0      3.9    118.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C460 2025020723    970.4      9.0       79      0.7    102.0      4.6     33.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C460 2025020724    970.6      8.7       80      0.8    100.0      4.6     33.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C460 2025020801    970.5      8.5       80      0.8    102.0      4.4     60.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C460 2025020802    970.0      7.9       82      0.9     95.0      5.0    113.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C460 2025020803    970.3      7.3       84      1.2    109.0      5.1     88.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C460 2025020804    970.5      6.9       85      1.0    100.0      3.7    124.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C460 2025020805    970.4      6.6       85      1.0     90.0      4.9    116.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C460 2025020806    970.8      6.8       82      0.9    107.0      4.5    127.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C460 2025020807    971.0      6.8       81      1.3    108.0      7.1     30.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C460 2025020808    971.7      6.4       82      1.2    105.0      5.2    111.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020809    972.3      6.2       83      1.1     97.0      5.2    113.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C460 2025020810    972.6      6.0       82      1.3    107.0      4.9     63.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C460 2025020811    972.1      5.9       82      1.1    108.0      5.1    115.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C460 2025020812    971.2      5.9       81      1.2    105.0      4.6    120.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C460 2025020813    970.4      5.6       82      0.8     89.0      4.5     38.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C460 2025020814    969.8      5.6       79      1.2    106.0      4.9     76.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C460 2025020815    969.8      5.6       79      0.7    104.0      3.9     52.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C460 2025020816    969.9      5.5       82      0.7    101.0      4.9     63.0      0.5     None     None     None     None     None     None     None     None     1900     None
